circRNA	circRNA-miRNA Interactions	Target	miRNA-Target Interactions	Number of Common miRNAs	Common miRNAs	P-Value	FDR						
circHomer1	10	Lef1	14	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	0.000160726	0.003738635						
circHomer1	10	Map2k1	15	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	0.000216541	0.004640315						
circHomer1	10	Mapt	10	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	3.54E-05	0.001182683						
circHomer1	10	Metap1	17	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	0.000368525	0.006870135						
circHomer1	10	Mex3c	30	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	0.003618739	0.035655023						
circHomer1	10	Mocs2	8	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	1.21E-05	0.000517685						
circHomer1	10	Mpped2	20	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	0.000723347	0.011379503						
circHomer1	10	N28178	9	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	2.15E-05	0.000794234						
circHomer1	10	Nav3	18	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-207"	0.000468102	0.008265837						
circHomer1	10	Nono	7	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	6.11E-06	0.000305995						
circHomer1	10	Oxsr1	12	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	8.14E-05	0.002197138						
circHomer1	10	Pkia	24	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	0.001510747	0.019514477						
circArid1a	16	Ppm1f	19	4	"rno-miR-93-3p, rno-miR-328a-3p, rno-miR-328b-3p, rno-miR-370-3p"	0.004235578	0.039452725						
circHomer1	10	Rab43	8	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	1.21E-05	0.000517685						
circHomer1	10	Ralgps2	11	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	5.49E-05	0.001630301						
circHomer1	10	Rarg	17	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	0.000368525	0.006870135						
circHomer1	10	Rfx3	23	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-143-3p"	0.001274473	0.017112057						
circArid1a	16	Rgp1	13	4	"rno-miR-93-3p, rno-miR-326-3p, rno-miR-330-5p, rno-miR-370-3p"	0.000903462	0.013514543						
circHomer1	10	Rnf152	19	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-143-3p"	0.000585766	0.00972874						
circHomer1	10	Rtn4rl1	15	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	0.000216541	0.004640315						
circHomer1	10	Shoc2	13	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-145-3p"	0.000116198	0.002903245						
circHomer1	10	Sidt1	9	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-143-3p"	2.15E-05	0.000794234						
circHomer1	10	Slc6a1	33	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	0.005206	0.045152434						
circHomer1	10	Slco3a1	14	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	0.000160726	0.003738635						
circHomer1	10	Snx30	32	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	0.004632152	0.042323872						
circHomer1	10	Soga1	12	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	8.14E-05	0.002197138						
circHomer1	10	Srpr	17	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	0.000368525	0.006870135						
circHomer1	10	Strn3	22	5	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-143-3p, rno-miR-151-3p"	5.89E-05	0.001726408						
circHomer1	10	Syt2	21	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	0.000882717	0.01324686						
circHomer1	10	Tmem201	6	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	2.65E-06	0.00015899						
circHomer1	10	Tom1	7	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	6.11E-06	0.000305995						
circHomer1	10	Usp54	6	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	2.65E-06	0.00015899						
circHomer1	10	Vat1	16	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	0.000285249	0.005718385						
circHomer1	10	Xbp1	10	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	3.54E-05	0.001182683						
circHomer1	10	Zfp282	22	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-143-3p"	0.001065781	0.015099842						
