Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Reelin Signaling in Neurons	7.74	0.357	-2.236	"AKT3,APP,ARHGEF11,ARHGEF2,ARHGEF5,ARPC4,ARPC5,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CDC42,CDH2,CDK5,CDK5R1,CNR1,CRK,DAB1,DCX,FRK,GRIN2B,GRINA,GSK3B,HCK,ITGA1,ITGB1,LIMK1,MAP2K6,MAP3K9,MAPK1,MAPK10,MAPK8,MAPK8IP1,MAPK8IP3,NDEL1,PAFAH1B1,PAFAH1B2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RAP1A,RELN,RHOA,VLDLR"
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis"	7.68	0.305	NaN	"ADAMTS4,AKT3,BMP10,BMP2,BMP3,BMPR2,CALM1 (includes others),CBL,CSF1,CSNK1A1,CTNNB1,DKK2,DKK3,FZD3,FZD4,FZD5,FZD8,FZD9,GSK3B,HNF1A,IL11,IL17A,IL1F10,IL1RAPL1,IL1RN,IL36RN,ITGB1,LRP6,MAP2K6,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,MMP14,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP3R1,RUNX2,SFRP5,SMAD1,SMAD5,SMAD6,SMURF1,SP7,TCF4,TCF7,TCF7L1,TNFRSF11A,TNFSF11,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B,XIAP"
RAR Activation	7.22	0.309	NaN	"ADCY2,ADCY3,ADCY5,AKR1B1,AKT3,ALDH1A3,ARID2,BMP2,CREBBP,CSNK2A1,DHRS4,DHRS9,ERCC2,GTF2H1,GTF2H2,GTF2H5,JAK2,MAPK1,MAPK10,MAPK14,MAPK8,MED1,MNAT1,NCOA1,NR2F2,NSD1,NT5C1B,PBRM1,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PML,PPARGC1A,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PTEN,RARA,RARB,RBP7,RDH10,SMAD1,SMAD2,SMAD3,SMAD5,SMAD6,SMAD7,SMARCD1,SORBS3,STAT5B,TAF4,VEGFA,ZBTB16"
Human Embryonic Stem Cell Pluripotency	7.06	0.341	NaN	"AKT3,BDNF,BMP10,BMP2,BMP3,BMPR2,CTNNB1,FGF2,FZD3,FZD4,FZD5,FZD8,FZD9,GSK3B,HNF1A,NODAL,NOG,NTRK3,PDGFA,PDGFB,PDGFRA,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,S1PR5,SALL4,SMAD1,SMAD2,SMAD3,SMAD5,SMAD6,SMAD7,TCF4,TCF7,TCF7L1,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
Regulation of the Epithelial-Mesenchymal Transition Pathway	7	0.307	NaN	"AKT3,APH1A,CDH2,CTNNB1,EGF,EGFR,ETS1,FGF1,FGF13,FGF17,FGF2,FRS2,FZD3,FZD4,FZD5,FZD8,FZD9,GAB1,GSK3B,HMGA2,HNF1A,ID2,JAK2,MAML1,MAP2K6,MAPK1,NOTCH4,NRAS,PARD6G,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PYGO2,RALA,RAP1A,RAP2B,RBPJ,RHOA,SMAD2,SMAD3,SMURF1,SNAI1,SOS1,STAT3,TCF4,TCF7,TCF7L1,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B,ZEB1,ZEB2"
TGF-? Signaling	6.84	0.375	-0.539	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,BMP2,BMPR2,CDC42,CREBBP,INHA,MAP2K6,MAP3K7,MAPK1,MAPK14,MAPK8,NKX2-5,NODAL,NRAS,PITX2,PMEPA1,RALA,RAP1A,RAP2B,RNF111,RUNX2,RUNX3,SKI,SMAD1,SMAD2,SMAD3,SMAD5,SMAD6,SMAD7,SMURF1,SMURF2,SOS1,ZFYVE9"
B Cell Receptor Signaling	6.83	0.308	-1.214	"AKT3,APBB1IP,BCL6,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CD79B,CDC42,CFL2,CREB1,CREB3,CREB5,CREBBP,EBF1,ETS1,GAB1,GAB2,GSK3B,MAP2K6,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK14,MAPK8,MEF2C,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,NRAS,OCRL,PAG1,PAX5,PDPK1,PIK3AP1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,POU2F2,PPP3R1,PRKCB,PTEN,RALA,RAP1A,RAP2B,RASSF5,RPS6KB2,SOS1,SYK"
Adipogenesis pathway	6.71	0.336	NaN	"AGPAT2,BMP2,BMPR2,CDK5,CLOCK,CTBP2,CTNNB1,EBF1,ERCC2,FBXW7,FGF1,FGF2,FZD3,FZD4,FZD5,FZD8,FZD9,GTF2H1,GTF2H2,GTF2H5,HDAC5,HDAC8,KAT7,KLF3,LPIN1,MNAT1,NR2F2,PER2,PPARG,RB1,RBBP7,RPS6KC1,RUNX1T1,SAP30L,SENP2,SIRT2,SLC2A4,SMAD1,SMAD3,SMAD5,SOX9,STAT5B,TBL1XR1,TCF7,TXNIP"
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	6.51	0.345	-1.606	"AKT3,BMP10,BMP2,BMP3,BMPR2,CDX2,CTNNB1,FZD3,FZD4,FZD5,FZD8,FZD9,GAB1,GSK3B,JAK2,LIFR,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RIF1,SALL4,SMAD1,SMAD5,SOS1,STAT3,TCF7L1,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
Ephrin Receptor Signaling	6.48	0.306	-2.722	"ACP1,ADAM10,AKT3,ANGPT1,ARPC4,ARPC5,CDC42,CFL2,CREB1,CREB3,CREB5,CREBBP,CRK,EFNA2,EFNA4,EFNB2,EGF,EPHA4,EPHA5,EPHA7,EPHA8,FGF1,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,GRIN2B,GRINA,ITGB1,ITSN1,JAK2,LIMK1,MAP4K4,MAPK1,NRAS,PAK2,PAK5,PDGFA,PDGFB,PXN,RALA,RAP1A,RAP2B,RASA1,RHOA,ROCK1,ROCK2,SDC2,SOS1,STAT3,VEGFA"
Cardiac ?-adrenergic Signaling	6.43	0.326	-1.715	"ADCY2,ADCY3,ADCY5,AKAP11,AKAP13,AKAP9,APEX1,CACNA1C,FICD,GDPD1,GNG10,GNG12,GNG13,GNG4,GRK3,MPPED2,NAPEPLD,PALM2AKAP2,PDE3A,PDE3B,PDE4D,PDE5A,PDE6C,PDE7A,PDE7B,PDE8B,PDE9A,PKIA,PKIB,PPP1CB,PPP1CC,PPP1R1A,PPP1R3C,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,SLC8A1"
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis"	6.42	0.266	NaN	"ADAMTS4,AKT3,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CCND1,CREB1,CREB3,CREB5,CREBBP,CSF1,CSNK1A1,CTNNB1,DAAM1,DKK2,DKK3,F2RL1,FGF2,FZD3,FZD4,FZD5,FZD8,FZD9,GNAQ,GSK3B,HNF1A,IL17A,IL1F10,IL1RAPL1,IL1RN,IL36RN,IRAK2,JAK2,LRP6,MAP2K6,MAP3K7,MAPK1,MAPK14,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,NLK,NRAS,PDGFA,PDGFB,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPP3R1,PRKCB,PRKD1,RALA,RAP1A,RAP2B,RHOA,ROCK1,ROCK2,SFRP5,STAT3,TCF4,TCF7,TCF7L1,TNFSF11,TRAF1,TRAF3,VCAM1,VEGFA,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
GNRH Signaling	6.31	0.306	-2.412	"ADCY2,ADCY3,ADCY5,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CDC42,CREB1,CREB3,CREB5,CREBBP,EGFR,GNAI2,GNAI3,GNAQ,HBEGF,MAP2K6,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,PAK2,PAK5,PLCB1,PLCB4,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PXN,RALA,RAP1A,RAP2B,SOS1"
Opioid Signaling Pathway	6.28	0.279	-1.833	"ADCY2,ADCY3,ADCY5,AKT3,AP2B1,AP2M1,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CDC42,CLTA,CREB1,CREB3,CREB5,CREBBP,CTNNB1,FOSB,FRK,GNAI2,GNAI3,GRIN2B,GRINA,GRK3,GRK6,GRK7,GSK3B,HCK,KCNJ3,KCNJ6,MAP2K6,MAPK1,MAPK6,NRAS,PLCB1,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RALA,RAP1A,RAP2B,RGS1,RGS11,RGS17,RGS18,RGS21,RGS5,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,RPS6KB2,SLC12A5,SOS1,SRF"
Endocannabinoid Cancer Inhibition Pathway	6.23	0.322	0.745	"ADCY2,ADCY3,ADCY5,AKT3,CASP10,CASP5,CASP8,CCND1,CCND2,CCNE2,CDKN1A,CNR1,CREB1,CREB3,CREB5,CREBBP,CTNNB1,GNAI2,GNAI3,GNAQ,GSK3B,HNF1A,MAP2K6,MAPK1,MAPK14,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RHOA,ROCK1,ROCK2,SPTLC2,TCF4,TCF7,TCF7L1,TRPV1,VEGFA"
BMP signaling pathway	6.2	0.376	-1.616	"BMP10,BMP2,BMP3,BMPR2,CREB1,CREBBP,FST,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,NKX2-5,NOG,NRAS,PITX2,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RALA,RAP1A,RAP2B,RUNX2,SMAD1,SMAD5,SMAD6,SMAD7,SMURF1,SOS1,XIAP"
Estrogen Receptor Signaling	6.04	0.259	-1.844	"ADCY2,ADCY3,ADCY5,AKT3,ATP5F1C,CACNA1C,CCNC,CCND1,CDK8,CDKN1A,CFL2,CREB1,CREB3,CREB5,CREBBP,CTBP2,EGF,EGFR,EIF2B2,EIF4E,ESR1,FBXO32,FOXA1,FOXO3,GNA12,GNAI2,GNAI3,GNAQ,GSK3B,HNRNPD,JAK2,LIMK1,MAPK1,MED1,MED12L,MED13,MED14,MED20,MMP14,MMP15,MMP16,MMP19,MMP24,MPRIP,NCOA1,NCOA3,NRAS,PGR,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPARGC1A,PPP1CB,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PTEN,RALA,RAP1A,RAP2B,RBFOX2,RHOA,ROCK1,ROCK2,RPS6KB2,RUNX2,SDHD,SETD7,SHE,SNAI1,SOS1,SP1,TBL1XR1,VEGFA,ZDHHC21"
Dopamine-DARPP32 Feedback in cAMP Signaling	6.01	0.307	-1.234	"ADCY2,ADCY3,ADCY5,CACNA1C,CALM1 (includes others),CDK5,CREB1,CREB3,CREB5,CREBBP,CSNK1A1,CSNK1D,CSNK1G1,CSNK1G3,DRD2,GNAI2,GNAI3,GNAQ,GRIN2B,GRINA,GUCY1A2,GUCY1B1,KCNJ1,KCNJ10,KCNJ16,KCNJ3,KCNJ6,PAWR,PLCB1,PLCB4,PPP1CB,PPP1CC,PPP1R1B,PPP1R3C,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PRKG1"
Relaxin Signaling	5.98	0.313	-2.558	"ADCY2,ADCY3,ADCY5,AKT3,APEX1,CREB1,FICD,GAD1,GDPD1,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,GUCY1A2,GUCY1B1,MAPK1,MPPED2,NAPEPLD,NFKBIB,NFKBIE,NT5C,PDE3A,PDE3B,PDE4D,PDE5A,PDE6C,PDE7A,PDE7B,PDE8B,PDE9A,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RAP1A,SLC39A7,VEGFA"
Mouse Embryonic Stem Cell Pluripotency	5.97	0.35	-1.521	"AKT3,BMPR2,CREBBP,CTNNB1,FZD3,FZD4,FZD5,FZD8,FZD9,GSK3B,HNF1A,ID1,ID2,JAK2,LIFR,MAP3K7,MAPK1,MAPK14,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,SMAD1,SMAD5,SOS1,STAT3,TCF4,TCF7,TCF7L1,WNT3A,XIAP"
AMPK Signaling	5.95	0.285	-0.905	"ADRA1D,ADRA2A,AK4,AKT3,ARID2,CCNA2,CCND1,CDKN1A,CHRM2,CHRNA1,CHRNA10,CHRNA2,CHRNA7,CHRNB4,CPT1A,CREB1,CREB3,CREB5,CREBBP,CRTC2,EPM2A,FOXO3,HMGCR,INSR,IRS1,MAP3K7,MAPK1,MAPK14,PBRM1,PHLPP2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPARGC1A,PPM1E,PPM1H,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RAB11A,RAB1A,RAB22A,RAB27A,RAB2A,SLC2A1,SLC2A4,SMARCD1,STRADA"
White Adipose Tissue Browning Pathway	5.9	0.326	-1.234	"ADCY2,ADCY3,ADCY5,BDNF,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CREB1,CREB3,CREB5,CREBBP,CTBP2,DIO2,GUCY1A2,GUCY1B1,LDHA,MAPK1,MAPK14,NPPA,PPARG,PPARGC1A,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKG1,RARA,RARB,RUNX1T1,THRA,THRB,TRPV1,VEGFA,VGF"
Colorectal Cancer Metastasis Signaling	5.87	0.273	-1.604	"ADCY2,ADCY3,ADCY5,AKT3,APPL1,CCND1,CDC42,CTNNB1,DCC,EGF,EGFR,FZD3,FZD4,FZD5,FZD8,FZD9,GNG10,GNG12,GNG13,GNG4,GRK3,GSK3B,HNF1A,JAK2,LRP6,MAPK1,MAPK10,MAPK8,MMP14,MMP15,MMP16,MMP19,MMP24,MSH6,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PTGS2,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,SMAD2,SMAD3,SOS1,STAT3,TCF4,TCF7,TCF7L1,VEGFA,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
