Original Gene ID	Gene Name	Chr	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000050711	Scg2	1	79412386	79417837	-	5452	-0.3302	9.1752	-3.497307277	0.003523926	0.70973134	-2.118697546
ENSMUSG00000026787	Gad2	2	22512217	22583886	+	71670	-0.2549	9.5233	-3.493940849	0.003547653	0.70973134	-2.144956433
ENSMUSG00000026678	Rgs5	1	169483070	169523382	+	40313	0.2466	6.8316	3.48960994	0.003578414	0.70973134	-2.01296979
ENSMUSG00000056596	Trnp1	4	133218411	133225861	-	7451	0.3573	7.2799	3.488687168	0.003585003	0.70973134	-2.029138194
ENSMUSG00000047409	Ctdspl	9	118755521	118873066	+	117546	0.1913	6.0345	3.471504058	0.003709946	0.70973134	-2.049356171
ENSMUSG00000025579	Gaa	11	119158713	119176280	+	17568	-0.2302	9.2503	-3.467121657	0.003742506	0.70973134	-2.15929704
ENSMUSG00000091712	Sec14l5	16	4964973	5005135	+	40163	0.2603	5.4269	3.460345907	0.003793414	0.70973134	-2.125074607
ENSMUSG00000003378	Grik5	7	24709274	24771771	-	62498	0.2305	8.2392	3.456118449	0.003825528	0.70973134	-2.115594396
ENSMUSG00000049804	Armcx4	X	133587268	133597506	+	10239	-0.2085	6.4245	-3.45602401	0.003826249	0.70973134	-2.052402135
ENSMUSG00000057614	Gnai1	5	18470133	18565353	-	95221	-0.2097	7.1164	-3.45548372	0.003830373	0.70973134	-2.062937308
ENSMUSG00000032320	Rcn2	9	55949129	55969166	+	20038	-0.1603	6.5910	-3.448063425	0.003887476	0.70973134	-2.061350364
ENSMUSG00000046447	Camk2n1	4	138181625	138187434	+	5810	0.3857	9.5766	3.441895944	0.003935588	0.70973134	-2.209665336
ENSMUSG00000026344	Lypd1	1	125795359	125840838	-	45480	-0.4436	7.2910	-3.441789471	0.003936424	0.70973134	-2.087608938
ENSMUSG00000050022	Amz1	5	140709882	140747194	+	37313	0.3107	5.6305	3.441742291	0.003936794	0.70973134	-2.123303627
ENSMUSG00000031347	Cetn2	X	71957138	71962017	-	4880	-0.1545	4.9366	-3.426098728	0.004061565	0.70973134	-2.247053799
ENSMUSG00000059173	Pde1a	2	79664797	79959802	-	295006	-0.3401	7.1959	-3.416319365	0.004141572	0.70973134	-2.1159746
ENSMUSG00000039059	Hrh3	2	179741258	179746281	-	5024	0.2545	7.5795	3.391551034	0.00435135	0.70973134	-2.16465625
ENSMUSG00000038894	Irs2	8	11034681	11058458	-	23778	-0.2858	6.2173	-3.389745422	0.004367053	0.70973134	-2.142731534
ENSMUSG00000035382	Pcsk7	9	45817795	45841024	+	23230	0.1946	5.5009	3.383441692	0.004422322	0.70973134	-2.208945135
ENSMUSG00000036502	Tmem255a	X	37285450	37341316	-	55867	-0.5907	5.1416	-3.381157842	0.004442519	0.70973134	-2.265929913
ENSMUSG00000055866	Per2	1	91343704	91387046	-	43343	0.2935	5.9445	3.362475666	0.004611237	0.70973134	-2.194821408
ENSMUSG00000024969	Mark2	19	7252761	7319225	-	66465	0.1425	7.1999	3.357030211	0.004661612	0.70973134	-2.192596156
ENSMUSG00000025089	Gfra1	19	58224036	58444341	-	220306	-0.1893	6.8230	-3.344201369	0.004782478	0.70973134	-2.197255129
ENSMUSG00000046607	Hrk	5	118302713	118327543	+	24831	0.2728	6.1864	3.334949401	0.004871586	0.70973134	-2.217134706
ENSMUSG00000046717	Igbp1b	6	138634087	138635542	-	1456	-0.4922	0.4220	-3.333491507	0.004885779	0.70973134	-3.90641797
ENSMUSG00000013076	Amotl1	9	14453262	14556352	-	103091	-0.1952	6.5048	-3.328871398	0.004931027	0.70973134	-2.215143728
ENSMUSG00000025902	Sox17	1	4561154	4567577	-	6424	0.3089	2.9387	3.326135047	0.004958024	0.70973134	-3.047472447
ENSMUSG00000079224	Gm6565	6	100581644	100582081	+	438	-0.6424	-2.1885	-3.321995725	0.004999144	0.70973134	-4.310503524
ENSMUSG00000031984	2810004N23Rik	8	125563684	125589859	-	26176	-0.1283	4.9083	-3.317141577	0.0050478	0.70973134	-2.37993901
ENSMUSG00000031227	Magee1	X	104163984	104167533	+	3550	-0.1816	7.3278	-3.315256659	0.005066821	0.70973134	-2.250404236
ENSMUSG00000031883	Car7	8	105261321	105276975	+	15655	0.2544	4.3989	3.310060269	0.00511963	0.70973134	-2.515422453
ENSMUSG00000029017	Pmpcb	5	21942139	21962150	+	20012	-0.1263	5.5839	-3.307910545	0.005141637	0.70973134	-2.291593663
ENSMUSG00000045284	Dcaf12l1	X	43875447	43879074	-	3628	-0.1737	5.6399	-3.304526393	0.005176473	0.70973134	-2.289991263
ENSMUSG00000039713	Plekhg5	4	152156955	152199857	+	42903	0.2163	6.1438	3.301055676	0.005212446	0.70973134	-2.261727301
ENSMUSG00000032536	Trak1	9	121126568	121303984	+	177417	0.1256	7.7318	3.273342384	0.005508783	0.70973134	-2.320756732
ENSMUSG00000068748	Ptprz1	6	22875501	23052915	+	177415	-0.2313	7.9831	-3.273131003	0.005511107	0.70973134	-2.331695157
ENSMUSG00000051351	Zfp46	4	136011994	136021253	+	9260	0.2754	6.2084	3.273057099	0.00551192	0.70973134	-2.295949149
ENSMUSG00000037579	Kcnh3	15	99122742	99140698	+	17957	0.1945	7.6406	3.261024178	0.005645845	0.70973134	-2.332656003
ENSMUSG00000047959	Kcna3	3	106943485	106945386	+	1902	-0.2579	2.9193	-3.251420521	0.005755058	0.70973134	-3.105938154
ENSMUSG00000049907	Rasl11b	5	74355947	74360142	+	4196	0.4718	4.5274	3.249109025	0.005781657	0.70973134	-2.554214403
ENSMUSG00000070047	Fat1	8	45388484	45505294	+	116811	-0.3148	6.8453	-3.238066005	0.005910436	0.70973134	-2.335091334
ENSMUSG00000027642	Rpn2	2	157120937	157168239	+	47303	-0.1503	7.4385	-3.235576757	0.005939857	0.70973134	-2.356827876
ENSMUSG00000033287	Kctd17	15	78312764	78323503	+	10740	0.3268	7.5271	3.234182322	0.005956402	0.70973134	-2.362522051
ENSMUSG00000030096	Slc6a6	6	91661034	91736047	+	75014	0.2231	8.1862	3.215951753	0.006176978	0.70973134	-2.411855961
ENSMUSG00000032314	Etfa	9	55361792	55419527	-	57736	-0.1245	5.0910	-3.214806162	0.006191108	0.70973134	-2.469929613
ENSMUSG00000014226	Cacybp	1	160029937	160040445	-	10509	-0.1546	5.6822	-3.211595677	0.006230877	0.70973134	-2.403452515
ENSMUSG00000030256	Bhlhe41	6	145803969	145811284	-	7316	0.2362	5.8905	3.200177114	0.006374393	0.70973134	-2.404708098
ENSMUSG00000036422	Pcdh8	14	80004215	80008752	-	4538	-0.6753	4.8109	-3.187131568	0.006542389	0.70973134	-2.556493269
ENSMUSG00000050410	Tcf19	17	35823631	35827721	-	4091	0.4088	1.8446	3.180362594	0.006631285	0.70973134	-3.547476972
ENSMUSG00000034463	Scara3	14	66156843	66191384	-	34542	0.2344	4.9187	3.167674872	0.00680116	0.70973134	-2.557443077
ENSMUSG00000026019	Wdr12	1	60108944	60137804	-	28861	-0.1331	5.2486	-3.161942239	0.006879326	0.70973134	-2.512089789
ENSMUSG00000048721	Fndc9	11	46126358	46130699	+	4342	-0.3232	4.4450	-3.160011253	0.006905856	0.70973134	-2.662348527
ENSMUSG00000044254	Pcsk9	4	106299526	106321526	-	22001	0.5334	3.4629	3.14936093	0.007054018	0.70973134	-2.993261305
ENSMUSG00000030157	Clec2d	6	129157578	129163497	+	5920	0.2825	2.0181	3.144811138	0.007118271	0.70973134	-3.504580589
ENSMUSG00000022490	Ppp1r1a	15	103438706	103446430	-	7725	0.2050	6.8391	3.142823136	0.007146528	0.70973134	-2.460131818
ENSMUSG00000071723	Gspt2	X	93679675	93686850	+	7176	-0.2085	5.4163	-3.139942136	0.007187676	0.70973134	-2.519639395
ENSMUSG00000047238	Mageh1	X	151819162	151820571	-	1410	-0.1679	5.1117	-3.136668025	0.007234724	0.70973134	-2.561219278
ENSMUSG00000000308	Ckmt1	2	121188195	121194218	+	6024	-0.1648	7.6821	-3.133820555	0.00727589	0.70973134	-2.496298756
ENSMUSG00000001946	Esam	9	37439374	37449615	+	10242	0.2938	4.2079	3.12716787	0.007372976	0.70973134	-2.764596371
ENSMUSG00000024151	Msh2	17	87979758	88031141	+	51384	-0.1349	5.0916	-3.117887222	0.007510563	0.70973134	-2.586782982
ENSMUSG00000049313	Sorl1	9	41876016	42035593	-	159578	-0.2032	8.3719	-3.11671631	0.007528102	0.70973134	-2.543480833
ENSMUSG00000055692	Tmem191c	16	17093941	17101093	+	7153	0.1736	6.7103	3.116369306	0.007533308	0.70973134	-2.493013872
ENSMUSG00000031442	Mcf2l	8	12923806	13070905	+	147100	0.1891	7.6198	3.102566824	0.007743285	0.70973134	-2.534065998
ENSMUSG00000041870	Ankrd13a	5	114912738	114944261	+	31524	0.2093	6.0920	3.087719521	0.007975635	0.70973134	-2.539269587
ENSMUSG00000027490	E2f1	2	154401327	154411812	-	10486	0.3234	3.5405	3.085462383	0.008011558	0.70973134	-3.016800131
ENSMUSG00000044224	Dnajc21	15	10446842	10470602	-	23761	-0.1667	3.8286	-3.083299512	0.00804613	0.70973134	-2.918533648
ENSMUSG00000020436	Gabrg2	11	41801030	41891684	-	90655	-0.2424	7.0564	-3.080908079	0.008084528	0.70973134	-2.543859308
ENSMUSG00000032067	Pts	9	50432917	50440024	-	7108	0.1288	4.8556	3.080471884	0.008091552	0.70973134	-2.669329771
ENSMUSG00000023830	Igf2r	17	12901293	12988551	-	87259	-0.1791	5.8591	-3.080171133	0.008096398	0.70973134	-2.558475744
ENSMUSG00000032076	Cadm1	9	47441471	47769413	+	327943	-0.2098	7.6690	-3.075697688	0.008168819	0.70973134	-2.570121443
ENSMUSG00000047710	Champ1	8	13919641	13931639	+	11999	-0.1335	5.5516	-3.071391829	0.008239132	0.70973134	-2.592280741
ENSMUSG00000046329	Slc25a23	17	57350711	57366863	-	16153	0.1384	8.8915	3.070855261	0.008247936	0.70973134	-2.62152777
ENSMUSG00000025268	Maged2	X	149589366	149597341	-	7976	-0.1765	5.5775	-3.069697211	0.008266969	0.70973134	-2.592167345
ENSMUSG00000040260	Daam2	17	49763050	49871371	-	108322	0.1505	7.0067	3.064251153	0.00835706	0.70973134	-2.565174354
ENSMUSG00000024764	Naa40	19	7203033	7218548	-	15516	0.2103	5.9733	3.063908462	0.008362761	0.70973134	-2.575066651
ENSMUSG00000057193	Slc44a2	9	21231994	21266324	+	34331	0.1171	5.8027	3.063745358	0.008365476	0.70973134	-2.583936872
ENSMUSG00000008604	Ubqln4	3	88461065	88477032	+	15968	0.1605	7.4161	3.052359685	0.008557165	0.70973134	-2.591817792
ENSMUSG00000042099	Kank3	17	34029493	34041892	+	12400	0.1637	4.5211	3.051690156	0.008568571	0.70973134	-2.767006329
ENSMUSG00000029916	Agk	6	40302106	40373696	+	71591	-0.1402	5.4879	-3.051266941	0.008575789	0.70973134	-2.623334653
ENSMUSG00000024220	Zfp523	17	28396103	28424860	+	28758	0.1732	7.1049	3.042758699	0.008722178	0.70973134	-2.595497973
ENSMUSG00000020978	Klhdc2	12	69343455	69357461	+	14007	-0.1426	6.4597	-3.02506132	0.009034628	0.70973134	-2.611177793
ENSMUSG00000111837	Gm47135	9	122511807	122512706	+	900	0.3466	2.1609	3.017743326	0.009167037	0.70973134	-3.531027091
ENSMUSG00000034845	Plvap	8	71950409	71964396	-	13988	0.2169	3.6084	3.015407162	0.009209709	0.70973134	-3.055669939
ENSMUSG00000041658	Rragb	X	151922977	151954939	+	31963	-0.1774	6.2183	-3.014750484	0.009221739	0.70973134	-2.628504793
ENSMUSG00000024966	Stip1	19	6998070	7017335	-	19266	-0.2098	7.2829	-2.993978601	0.009610379	0.70973134	-2.662895151
ENSMUSG00000067377	Tspan6	X	132791817	132799178	-	7362	-0.3590	3.5130	-2.993051156	0.009628103	0.70973134	-3.104650582
ENSMUSG00000000530	Acvrl1	15	101026403	101043217	+	16815	0.4741	4.7226	2.992744752	0.009633966	0.70973134	-2.801885376
ENSMUSG00000020154	Ptprb	10	116111428	116225440	+	114013	0.2874	6.1413	2.992073796	0.009646816	0.70973134	-2.662377876
ENSMUSG00000034390	Cmip	8	117983803	118186169	+	202367	-0.1735	7.3026	-2.980907602	0.009863172	0.70973134	-2.680401168
ENSMUSG00000020368	Canx	11	50184788	50216500	-	31713	-0.1585	8.3129	-2.980378295	0.009873546	0.70973134	-2.712623867
ENSMUSG00000069833	Ahnak	19	8966648	9054278	+	87631	0.2585	5.7411	2.975361258	0.009972409	0.70973134	-2.702155184
ENSMUSG00000051652	Lrrc3	10	77733409	77738370	-	4962	0.2299	4.1533	2.97214191	0.010036362	0.70973134	-2.940218628
ENSMUSG00000022098	Bmp1	14	70711998	70757674	-	45677	0.1838	5.2556	2.969757263	0.010083993	0.70973134	-2.749191113
ENSMUSG00000036376	Abt1	13	23602531	23608036	-	5506	-0.1964	4.0486	-2.965463661	0.010170316	0.70973134	-2.971812956
ENSMUSG00000085733	Arhgap27os1	11	103254039	103255477	+	1439	0.5410	0.1500	2.96435827	0.010192657	0.70973134	-4.072019
ENSMUSG00000014551	Mrps25	6	92146506	92161014	-	14509	-0.1137	5.3067	-2.962582836	0.010228643	0.70973134	-2.751584602
ENSMUSG00000040907	Atp1a3	7	24677592	24705383	-	27792	-0.1803	11.0950	-2.953923295	0.010405959	0.70973134	-2.856178959
ENSMUSG00000025613	Cct8	16	87280214	87292761	-	12548	-0.1377	7.3606	-2.952222039	0.010441149	0.70973134	-2.719177616
ENSMUSG00000024661	Fth1	19	9957962	9962462	+	4501	0.2410	10.4128	2.949062007	0.010506823	0.70973134	-2.832861588
ENSMUSG00000027134	Lpcat4	2	112069813	112077456	+	7644	0.2169	6.5517	2.948429675	0.010520014	0.70973134	-2.712285789
ENSMUSG00000060802	B2m	2	121978167	121983564	+	5398	0.2293	5.4020	2.942974066	0.010634497	0.70973134	-2.768533636
ENSMUSG00000023367	Tmem176a	6	48817853	48824005	+	6153	-0.2245	3.8789	-2.941537833	0.010664839	0.70973134	-3.042278674
ENSMUSG00000022895	Ets2	16	95502942	95522095	+	19154	-0.1668	7.1005	-2.940900346	0.010678334	0.70973134	-2.727181481
ENSMUSG00000025364	Pa2g4	10	128393635	128401856	-	8222	-0.1104	5.9893	-2.93991651	0.010699193	0.70973134	-2.733238712
ENSMUSG00000004894	Hapln2	3	87929057	87934890	-	5834	0.2454	4.5649	2.938743861	0.010724109	0.70973134	-2.886865605
ENSMUSG00000059447	Hadhb	5	30360246	30389591	+	29346	-0.1372	6.1331	-2.936263344	0.010777	0.70973134	-2.733007559
ENSMUSG00000041115	Iqsec2	X	150927264	151008232	+	80969	0.1324	7.6087	2.935192544	0.010799912	0.70973134	-2.748429532
ENSMUSG00000029528	Pxn	5	115644735	115694046	+	49312	0.1997	4.9502	2.934929095	0.010805556	0.70973134	-2.828515469
ENSMUSG00000024530	Prelid3a	18	67597936	67612905	+	14970	0.2016	5.8166	2.933367122	0.010839081	0.70973134	-2.751054382
ENSMUSG00000037553	Zdhhc18	4	133332610	133377465	-	44856	0.1219	6.2155	2.929917023	0.010913493	0.70973134	-2.740063605
ENSMUSG00000027968	Larp7	3	127330363	127346998	-	16636	-0.1630	4.5306	-2.92207332	0.011084541	0.70973134	-2.908151563
ENSMUSG00000028041	Adam15	3	89245849	89257303	-	11455	0.1033	6.6521	2.919855807	0.011133374	0.70973134	-2.749176303
ENSMUSG00000029466	Anapc7	5	122559756	122582975	+	23220	-0.1124	5.3251	-2.915378068	0.011232627	0.70973134	-2.80844509
ENSMUSG00000003872	Lin7b	7	45017315	45020007	-	2693	0.2002	5.7914	2.909953449	0.011354033	0.70973134	-2.782486406
ENSMUSG00000032050	Rdx	9	51958473	52011763	+	53291	-0.1535	6.3796	-2.907756666	0.011403564	0.70973134	-2.765449886
ENSMUSG00000117725	Gm50240	17	30795274	30801568	+	6295	-0.2053	2.9389	-2.907608284	0.011406917	0.70973134	-3.356308461
ENSMUSG00000095041		JH584304.1	52190	59690	-	7501	0.4780	8.4669	2.905981801	0.011443737	0.70973134	-2.811498693
ENSMUSG00000048644	Ctxn1	8	4307660	4309274	-	1615	0.1685	8.8457	2.90473648	0.011472007	0.70973134	-2.825271458
ENSMUSG00000033585	Ndn	7	61996317	62000010	+	3694	-0.5568	7.3368	-2.901873105	0.011537269	0.70973134	-2.783747456
ENSMUSG00000024084	Qpct	17	79359335	79397807	+	38473	-0.2509	4.4972	-2.897396818	0.011640024	0.70973134	-2.942421669
ENSMUSG00000027520	Zdbf2	1	63312424	63353735	+	41312	-0.2070	5.8214	-2.883592554	0.011962594	0.70973134	-2.813409699
ENSMUSG00000010554	Mettl16	11	74661656	74719351	+	57696	-0.1938	5.1366	-2.878559338	0.012082376	0.70973134	-2.872448591
ENSMUSG00000006932	Ctnnb1	9	120758282	120789573	+	31292	-0.1135	9.0838	-2.869115275	0.012310311	0.70973134	-2.877464032
ENSMUSG00000000184	Ccnd2	6	127102125	127129156	-	27032	0.3357	5.9039	2.867280308	0.012355085	0.70973134	-2.833102594
ENSMUSG00000030495	Slc7a10	7	34885810	34900539	+	14730	-0.2491	5.0207	-2.864480675	0.012423705	0.70973134	-2.902367307
ENSMUSG00000032517	Mobp	9	119978773	120010550	+	31778	0.2103	8.2877	2.863297033	0.012452829	0.70973134	-2.859456978
ENSMUSG00000025025	Mxi1	19	53298949	53364241	+	65293	0.1338	6.5023	2.863110947	0.012457413	0.70973134	-2.823586217
ENSMUSG00000035936	Aldh5a1	13	25091562	25121644	-	30083	-0.1466	7.4718	-2.860867451	0.012512819	0.70973134	-2.840232018
ENSMUSG00000015224	Cyp2j9	4	96456666	96479815	-	23150	-0.1943	4.5593	-2.859767151	0.01254008	0.70973134	-2.973531614
ENSMUSG00000058624	Gda	19	21368671	21450809	-	82139	-0.1932	8.3832	-2.858483764	0.012571951	0.70973134	-2.868172335
ENSMUSG00000027933	Ints3	3	90298695	90340929	-	42235	-0.1111	6.4834	-2.857307875	0.012601222	0.70973134	-2.830637813
ENSMUSG00000019851	Perp	10	18720768	18732821	+	12054	-0.2235	3.1762	-2.85520075	0.01265384	0.70973134	-3.326108264
ENSMUSG00000029419	Ajm1	2	25465428	25471769	-	6342	0.1729	7.5807	2.852891566	0.012711752	0.70973134	-2.853460145
ENSMUSG00000009739	Pou6f1	15	100473199	100497865	-	24667	0.1360	7.0544	2.852818618	0.012713586	0.70973134	-2.841460956
ENSMUSG00000029147	Ppm1g	5	31360008	31378031	-	18024	-0.1124	6.2444	-2.852414197	0.012723757	0.70973134	-2.839812188
ENSMUSG00000041231	Ublcp1	11	44345398	44361325	-	15928	-0.1602	5.3024	-2.851818035	0.012738764	0.70973134	-2.88942953
ENSMUSG00000044005	Gls2	10	128030326	128045873	+	15548	0.2117	4.0553	2.849772253	0.012790394	0.70973134	-3.091112416
ENSMUSG00000036062	Phf24	4	42916660	42944752	+	28093	0.1421	9.1473	2.845437011	0.012900482	0.70973134	-2.908866215
ENSMUSG00000037872	Ackr1	1	173159453	173161317	-	1865	0.1684	5.7084	2.840423474	0.013028951	0.70973134	-2.875847117
ENSMUSG00000037235	Mxd4	5	34331227	34345064	-	13838	0.1142	6.8395	2.839874087	0.013043105	0.70973134	-2.855150023
ENSMUSG00000024120	Lrpprc	17	85012675	85098217	-	85543	-0.1536	6.5681	-2.839634574	0.01304928	0.70973134	-2.853495188
ENSMUSG00000033446	Lpar6	14	73475335	73480734	+	5400	0.2875	1.9969	2.837728239	0.013098532	0.70973134	-3.682218436
ENSMUSG00000019890	Nts	10	102317617	102326347	-	8731	-0.4602	4.5160	-2.835627393	0.01315302	0.70973134	-3.010349138
ENSMUSG00000025318	Jph3	8	122456362	122521015	+	64654	0.1627	8.3491	2.835479782	0.013156857	0.70973134	-2.896217096
ENSMUSG00000024451	Arap3	18	38105681	38132022	-	26342	0.1932	3.9480	2.834904181	0.013171829	0.70973134	-3.13236266
ENSMUSG00000022075	Rhobtb2	14	70022439	70043085	-	20647	0.2129	7.3992	2.834859118	0.013173002	0.70973134	-2.872235862
ENSMUSG00000102861	Gm37637	9	98472548	98473803	+	1256	-0.4712	-0.2854	-2.830154228	0.013296017	0.70973134	-4.174890368
ENSMUSG00000004609	Cd33	7	43173640	43193852	-	20213	0.2068	3.5760	2.825354109	0.01342268	0.70973134	-3.238823893
ENSMUSG00000079018	Ly6c1	15	74915867	74920679	-	4813	0.2546	5.1873	2.824899035	0.01343475	0.70973134	-2.934975422
ENSMUSG00000027400	Pdyn	2	129528485	129541764	-	13280	-0.2331	8.4873	-2.824185092	0.013453706	0.70973134	-2.914196391
ENSMUSG00000005370	Msh6	17	88282490	88298320	+	15831	-0.2007	4.5396	-2.820734335	0.013545699	0.70973134	-3.021200252
ENSMUSG00000062296	Trank1	9	111140807	111224843	+	84037	0.2136	9.8671	2.820113038	0.013562327	0.70973134	-2.964793712
ENSMUSG00000025980	Hspd1	1	55116994	55127402	-	10409	-0.1639	7.4527	-2.819910306	0.013567757	0.70973134	-2.892563158
ENSMUSG00000009555	Cdk9	2	32595796	32603088	-	7293	0.1296	6.4984	2.808614316	0.013873701	0.70973134	-2.894862844
ENSMUSG00000025321	Itgb8	12	119121757	119202537	-	80781	-0.2268	5.5102	-2.802531995	0.014041218	0.70973134	-2.935138447
ENSMUSG00000029309	Sparcl1	5	104226977	104261599	-	34623	-0.1704	10.4539	-2.798572928	0.014151318	0.70973134	-3.01090573
ENSMUSG00000036620	Mgat4b	11	50101717	50125930	+	24214	0.1468	6.4649	2.796718678	0.014203172	0.70973134	-2.910671929
ENSMUSG00000035355	Kcnh4	11	100631202	100650768	-	19567	0.3622	5.5620	2.79403445	0.014278567	0.70973134	-2.944770726
ENSMUSG00000076432	Ywhaq	12	21440072	21467638	-	27567	-0.1299	7.8835	-2.791613563	0.0143469	0.70973134	-2.939613676
ENSMUSG00000104113	Gm37292	7	30907782	30908539	+	758	0.5292	-0.0598	2.789025657	0.0144203	0.70973134	-4.154409656
ENSMUSG00000058740	Kcnt1	2	25753746	25808285	+	54540	0.2419	8.0485	2.787792311	0.01445541	0.70973134	-2.948532377
ENSMUSG00000037126	Psd	19	46300526	46315595	-	15070	0.1670	9.4271	2.786833986	0.014482748	0.70973134	-2.989898576
ENSMUSG00000024269	Tpgs2	18	25260280	25302064	-	41785	-0.1174	5.9013	-2.786569079	0.014490314	0.70973134	-2.935009261
ENSMUSG00000045983	Eif4g1	16	20487063	20511634	+	24572	-0.1118	8.1456	-2.786240923	0.014499692	0.70973134	-2.952950615
