Original Gene ID	Gene Name	Chr	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000003123	Lipe	7	25078952	25098135	-	19184	-0.3583	3.9375	-2.994402717	0.013262603	0.980572306	-3.659183681
ENSMUSG00000078490		4	155493647	155551280	+	57634	0.2949	5.3840	2.98867587	0.013393994	0.980572306	-3.444921743
ENSMUSG00000075602	Ly6a	15	74866726	74869880	-	3155	-0.5146	4.7827	-2.985121861	0.013476197	0.980572306	-3.501080562
ENSMUSG00000108421	Gm44718	7	63415622	63415980	+	359	-0.7873	-1.0102	-2.976926606	0.013667706	0.980572306	-4.390160061
ENSMUSG00000002274	Metrn	17	26012195	26016110	-	3916	-0.2745	3.7773	-2.955199743	0.014188886	0.980572306	-3.713273407
ENSMUSG00000081944	Gm12276	11	62222247	62222547	+	301	-0.6127	0.6515	-2.944803228	0.014445353	0.980572306	-4.257580653
ENSMUSG00000024042	Sik1	17	32063224	32074778	-	11555	-0.3144	4.5895	-2.932851793	0.014745982	0.980572306	-3.562176523
ENSMUSG00000071637		16	15705150	15708895	+	3746	-0.5784	2.6632	-2.923747582	0.014979233	0.980572306	-3.951454566
ENSMUSG00000045903	Npas4	19	5034383	5040344	-	5962	-0.5748	5.3067	-2.917663717	0.015137179	0.980572306	-3.509045294
ENSMUSG00000037447		1	36346814	36363110	+	16297	-0.3966	3.6367	-2.913743596	0.015239842	0.980572306	-3.755554417
ENSMUSG00000091742	Gm5093	17	46750504	46751023	-	520	-0.7543	-0.7286	-2.910085495	0.015336277	0.980572306	-4.373849774
ENSMUSG00000030218	Mgp	6	136849433	136852821	-	3389	-0.6310	3.0280	-2.898400795	0.015648462	0.980572306	-3.895473262
ENSMUSG00000053560	Ier2	8	85387960	85389483	-	1524	-0.6277	1.3975	-2.895976009	0.015714047	0.980572306	-4.170217019
ENSMUSG00000028184	Adgrl2	3	148521219	148696191	-	174973	0.2842	7.1579	2.892020437	0.015821631	0.980572306	-3.544492291
ENSMUSG00000030790	Adm	7	110226868	110229027	+	2160	-0.7817	-0.1303	-2.881422558	0.016113553	0.980572306	-4.337635789
ENSMUSG00000046999	1110032F04Rik	3	68776919	68779496	+	2578	-0.4971	1.7796	-2.855984404	0.016836631	0.980572306	-4.116445815
ENSMUSG00000025492	Ifitm3	7	140589499	140590683	-	1185	-0.5459	2.9236	-2.855135849	0.016861307	0.980572306	-3.92530878
ENSMUSG00000105736	Gm42456	5	137272355	137286924	-	14570	0.3940	4.3908	2.842334135	0.017238035	0.980572306	-3.644590314
ENSMUSG00000025408	Ddit3	10	127126643	127132157	+	5515	-0.4216	4.2586	-2.82075293	0.017892415	0.980572306	-3.683232201
ENSMUSG00000002324	Rec8	14	55855494	55862852	+	7359	-0.4386	3.5977	-2.790790467	0.018842571	0.980572306	-3.819083601
ENSMUSG00000030157	Clec2d	6	129157578	129163497	+	5920	-0.6762	1.8860	-2.788952394	0.018902483	0.980572306	-4.121476351
ENSMUSG00000052684	Jun	4	94937271	94940459	-	3189	-0.3654	5.0364	-2.775734868	0.019338979	0.980572306	-3.604895727
ENSMUSG00000021182	Ccdc88c	12	100877782	100995315	-	117534	0.3643	7.1483	2.765415499	0.019686787	0.980572306	-3.616907745
ENSMUSG00000069808	Tlcd3a	11	76070497	76105653	+	35157	0.2328	5.6550	2.747109098	0.020319301	0.980572306	-3.585906076
ENSMUSG00000073411	H2-D1	17	35481706	35486475	+	4770	-0.3454	4.8307	-2.746578366	0.020337939	0.980572306	-3.63805351
ENSMUSG00000082284	H3f3a-ps1	X	100868121	100868530	+	410	-0.9502	-0.5162	-2.74489144	0.020397294	0.980572306	-4.382131406
ENSMUSG00000035929	H2-Q4	17	35598593	35604266	+	5674	-0.6350	1.7150	-2.727763034	0.021009878	0.980572306	-4.154913075
ENSMUSG00000030339	Ltbr	6	125283534	125290848	-	7315	-0.3277	2.9198	-2.708146471	0.021734099	0.980572306	-3.983009338
ENSMUSG00000034640	Tiparp	3	65435831	65462939	+	27109	-0.2908	5.2171	-2.707720338	0.021750106	0.980572306	-3.62784609
ENSMUSG00000097287	D130017N08Rik	5	143744109	143754330	+	10222	0.2203	4.7655	2.694911142	0.022236781	0.980572306	-3.671511189
ENSMUSG00000031609	Sap30	8	57935741	57940894	-	5154	-0.4268	1.9961	-2.692492041	0.022329907	0.980572306	-4.12891612
ENSMUSG00000090698	Apold1	6	134958681	134963799	+	5119	-0.6305	3.3529	-2.688704313	0.022476503	0.980572306	-3.915765715
ENSMUSG00000021453	Gadd45g	13	52000714	52002504	+	1791	-0.5448	3.8048	-2.682304637	0.022726375	0.980572306	-3.842054018
ENSMUSG00000000167		9	50528621	50536300	+	7680	0.3986	1.8893	2.67778566	0.022904485	0.980572306	-4.158603366
ENSMUSG00000037239	Spred3	7	28858254	28869836	-	11583	0.3238	6.0521	2.674433905	0.023037489	0.980572306	-3.628641445
ENSMUSG00000078816	Prkcg	7	3337704	3379615	+	41912	0.2605	8.0701	2.660935643	0.02358097	0.980572306	-3.727341257
ENSMUSG00000117505	Gm9993	18	7868018	7869113	-	1096	0.8374	-1.0951	2.635100919	0.024657035	0.980572306	-4.434408125
ENSMUSG00000038822		10	45453925	45588441	+	134517	0.2107	6.2197	2.634925964	0.024664487	0.980572306	-3.654950311
ENSMUSG00000085609	1700016P03Rik	11	75063386	75068459	+	5074	-0.6525	5.5290	-2.623521616	0.025155067	0.980572306	-3.681042191
ENSMUSG00000036357	Gpr101	X	56542028	56549117	-	7090	0.6832	5.6637	2.618792178	0.02536135	0.980572306	-3.673698795
ENSMUSG00000070436	Serpinh1	7	98994583	99002446	-	7864	-0.3226	4.3678	-2.602771953	0.026072672	0.980572306	-3.783934517
ENSMUSG00000027800	Tm4sf1	3	57193032	57209409	-	16378	-0.4084	3.2793	-2.574448181	0.027379094	0.980572306	-3.980451309
ENSMUSG00000047867		6	48678516	48685159	-	6644	-0.4149	2.3144	-2.558463899	0.028144801	0.980572306	-4.121089184
ENSMUSG00000020241	Col6a2	10	76431596	76459464	-	27869	0.3199	4.8768	2.548657868	0.028625004	0.980572306	-3.75937486
ENSMUSG00000056313		8	24927196	24929000	-	1805	-0.7951	1.1319	-2.546332563	0.028740059	0.980572306	-4.272962379
ENSMUSG00000020205	Phlda1	10	111342147	111344506	+	2360	-0.2960	5.0491	-2.545650608	0.028773888	0.980572306	-3.741628945
ENSMUSG00000019960	Dusp6	10	99099093	99103351	+	4259	-0.4322	5.2241	-2.520749901	0.030036466	0.980572306	-3.753357332
ENSMUSG00000063260		15	89666596	89726063	-	59468	0.6102	4.7304	2.51911673	0.030121163	0.980572306	-3.793977164
ENSMUSG00000025491	Ifitm1	7	140547134	140549738	+	2605	-0.6127	1.1894	-2.516189413	0.030273564	0.980572306	-4.273590315
ENSMUSG00000071001	Hrct1	4	43727188	43728639	+	1452	-0.6272	-0.2651	-2.508773746	0.030663053	0.980572306	-4.393280625
ENSMUSG00000036840	Siah1a	8	87450635	87472562	-	21928	-0.2406	4.4490	-2.508410646	0.03068225	0.980572306	-3.824913044
ENSMUSG00000072941	Sod3	5	52521133	52528760	+	7628	-0.3059	3.1227	-2.496499803	0.031318602	0.980572306	-4.029271153
ENSMUSG00000074384	AI429214	8	37460758	37462687	+	1930	0.3971	1.2968	2.494760315	0.031412619	0.980572306	-4.273476786
ENSMUSG00000023034	Nr4a1	15	101152150	101172676	+	20527	-0.4641	7.1446	-2.489867869	0.031678544	0.980572306	-3.789337564
ENSMUSG00000048489	Depp1	6	116627570	116629755	+	2186	-0.5078	1.8083	-2.474174648	0.032546593	0.980572306	-4.214204987
ENSMUSG00000037211	Spry1	3	37694096	37698747	+	4652	-0.2341	3.4765	-2.469109927	0.032831709	0.980572306	-3.99135229
ENSMUSG00000026864	Hspa5	2	34661982	34667559	+	5578	-0.3110	8.8052	-2.466924412	0.032955499	0.980572306	-3.867609976
ENSMUSG00000001627	Ifrd1	12	40251566	40298503	-	46938	-0.2442	5.4405	-2.463643424	0.033142201	0.980572306	-3.77730805
ENSMUSG00000040620	Dhx33	11	70874917	70895263	-	20347	0.2410	5.6405	2.455018593	0.033637965	0.980572306	-3.778221711
ENSMUSG00000085035	Gm12031	11	20095567	20096344	-	778	0.9610	-1.6279	2.449963036	0.033931945	0.980572306	-4.467895316
ENSMUSG00000090936		17	35384095	35386162	+	2068	-0.4199	0.2162	-2.446126064	0.034156749	0.980572306	-4.368846521
ENSMUSG00000046718	Bst2	8	71986899	71990100	-	3202	-0.4570	1.0776	-2.445066758	0.034219069	0.980572306	-4.300522407
ENSMUSG00000038612	Mcl1	3	95566099	95570487	+	4389	-0.2110	6.1970	-2.442487567	0.034371275	0.980572306	-3.78434833
ENSMUSG00000015656	Hspa8	9	40712280	40721383	+	9104	-0.2238	10.2589	-2.437718973	0.034654437	0.980572306	-3.936192148
ENSMUSG00000029360	Gm9754	5	118203425	118207775	+	4351	0.5302	2.7332	2.436964838	0.034699427	0.980572306	-4.112924142
ENSMUSG00000042116	Vwa1	4	155852606	155859155	-	6550	-0.2812	4.7789	-2.419669522	0.035747105	0.980572306	-3.838922981
ENSMUSG00000014226	Cacybp	1	160029937	160040445	-	10509	-0.2570	6.3224	-2.418717479	0.035805668	0.980572306	-3.803229832
ENSMUSG00000040543	Pitpnm3	11	71938354	72026604	-	88251	0.3200	6.5757	2.414516907	0.036065183	0.980572306	-3.81141814
ENSMUSG00000019874	Fabp7	10	57660977	57664546	+	3570	-0.3691	3.7744	-2.409448166	0.036380789	0.980572306	-3.976644393
ENSMUSG00000036478	Btg1	10	96452868	96458671	+	5804	-0.2634	5.4420	-2.405220172	0.036646114	0.980572306	-3.817622744
ENSMUSG00000040822	1700123O20Rik	14	54923673	54928198	+	4526	-0.2389	3.8503	-2.400674785	0.036933471	0.980572306	-3.97077758
ENSMUSG00000031897	Psmb10	8	106662367	106665076	-	2710	-0.3657	3.6722	-2.397634248	0.037126921	0.980572306	-3.993268738
ENSMUSG00000053113		11	117856905	117860873	-	3969	-1.5507	0.9806	-2.393239327	0.037408297	0.980572306	-4.317964675
ENSMUSG00000030592	Ryr1	7	28702769	28824604	-	121836	0.2336	6.7811	2.38679849	0.037824432	0.980572306	-3.840245331
ENSMUSG00000045730	Adrb2	18	62310887	62313030	-	2144	0.4300	0.5183	2.383096045	0.038065687	0.980572306	-4.361639102
ENSMUSG00000085622	3110056K07Rik	12	71038389	71062606	-	24218	-0.2539	5.0848	-2.382862226	0.038080974	0.980572306	-3.84478297
ENSMUSG00000045996	Polr2k	15	36174156	36177156	+	3001	-0.3557	3.3220	-2.380602798	0.038228997	0.980572306	-4.059945151
ENSMUSG00000056501	Cebpb	2	167530835	167532338	+	1504	-0.3874	1.2826	-2.380409425	0.038241692	0.980572306	-4.299731507
ENSMUSG00000049649	Gpr3	4	132936651	132939847	-	3197	-0.4359	2.3329	-2.375189125	0.038585959	0.980572306	-4.18368992
ENSMUSG00000078485	Plekhn1	4	156305913	156314174	-	8262	0.2599	4.4671	2.365389132	0.039240441	0.980572306	-3.90868428
ENSMUSG00000079018	Ly6c1	15	74915867	74920679	-	4813	-0.2963	5.2645	-2.362441773	0.039439388	0.980572306	-3.849693825
ENSMUSG00000042745	Id1	2	152578171	152579330	+	1160	-0.4133	3.5541	-2.361455557	0.039506177	0.980572306	-4.027796842
ENSMUSG00000021647	Cartpt	13	100034997	100037599	-	2603	-0.6164	5.5816	-2.361167721	0.039525691	0.980572306	-3.847872415
ENSMUSG00000026458	Ppfia4	1	134224521	134260666	-	36146	0.2232	7.3275	2.36065796	0.039560274	0.980572306	-3.880557732
ENSMUSG00000052837	Junb	8	85701113	85705347	-	4235	-0.4653	6.1004	-2.359882229	0.039612956	0.980572306	-3.844925837
ENSMUSG00000111547		9	20517429	20518912	-	1484	0.5235	-0.4427	2.357039251	0.039806618	0.980572306	-4.426518094
ENSMUSG00000037868	Egr2	10	67371305	67378018	+	6714	-0.5868	3.7285	-2.352032382	0.040149932	0.980572306	-4.016511375
ENSMUSG00000046675	Tmem251	12	102710021	102713820	+	3800	-0.3458	3.4241	-2.349207732	0.040344886	0.980572306	-4.052941608
ENSMUSG00000026017		1	60137406	60193112	+	55707	0.1899	5.0395	2.34835351	0.040404025	0.980572306	-3.868105307
ENSMUSG00000090877	Hspa1b	17	35175412	35178214	-	2803	-0.9979	3.3659	-2.346791814	0.040512361	0.980572306	-4.059036804
ENSMUSG00000102305		9	72931575	72933421	+	1847	-0.4351	0.1453	-2.345398877	0.04060923	0.980572306	-4.392208052
ENSMUSG00000005078	Jkamp	12	72132363	72148235	+	15873	-0.1840	5.8097	-2.33626153	0.041250286	0.980572306	-3.855483875
ENSMUSG00000021680	Crhbp	13	95567879	95581432	-	13554	-0.4392	2.9569	-2.332903307	0.041488359	0.980572306	-4.121539076
ENSMUSG00000085782	Gm15624	6	83143134	83149737	-	6604	0.4017	2.7234	2.332813976	0.04149471	0.980572306	-4.148078277
ENSMUSG00000051495	Irf2bp2	8	127315035	127320725	-	5691	-0.1786	5.6379	-2.325173369	0.042041449	0.980572306	-3.865798201
ENSMUSG00000038069	Cdkn2aip	8	48162379	48166967	-	4589	-0.1946	4.3195	-2.316855537	0.042644616	0.980572306	-3.94918682
ENSMUSG00000080316	Spaca6	17	18047420	18063271	+	15852	0.2211	5.5352	2.316739533	0.042653087	0.980572306	-3.872914464
ENSMUSG00000035576		2	162785392	162816442	+	31051	0.4832	4.5796	2.316325845	0.04268331	0.980572306	-3.925396136
ENSMUSG00000118099	Gm31356	19	55087934	55106247	+	18314	0.2428	5.0927	2.315013953	0.042779292	0.980572306	-3.888476003
ENSMUSG00000027712	Anxa5	3	36503072	36530043	-	26972	-0.2100	5.1323	-2.314027292	0.042851616	0.980572306	-3.888820328
ENSMUSG00000117613		18	15327839	15347753	+	19915	0.4047	3.3836	2.313753392	0.042871715	0.980572306	-4.068433248
ENSMUSG00000052848		5	111729288	111752798	+	23511	0.3840	3.6675	2.304860235	0.043529291	0.980572306	-4.042262135
ENSMUSG00000060802	B2m	2	121978167	121983564	+	5398	-0.3960	5.8284	-2.299940104	0.043897294	0.980572306	-3.880732524
ENSMUSG00000116779	Gm4829	17	3151418	3152011	-	594	-0.4738	-0.4793	-2.296978641	0.044120251	0.980572306	-4.434036796
ENSMUSG00000042406	Atf4	15	80139385	80141742	+	2358	-0.2135	6.3348	-2.286986979	0.044880623	0.980572306	-3.891704778
ENSMUSG00000022048	Dpysl2	14	67040313	67106137	-	65825	-0.1971	7.8204	-2.275630329	0.045760305	0.980572306	-3.950523816
ENSMUSG00000026822		2	32274645	32278264	-	3620	-1.1802	3.8574	-2.272353709	0.046017201	0.980572306	-4.025379628
ENSMUSG00000019797	Mtres1	10	43401129	43416990	-	15862	-0.2456	4.3548	-2.256954354	0.047243371	0.980572306	-3.986138701
ENSMUSG00000112721	Gm35608	10	76520266	76522635	+	2370	0.4283	0.5582	2.251001144	0.047725815	0.980572306	-4.380876292
ENSMUSG00000055923	Aasdh	5	77021506	77053361	-	31856	0.3052	4.8289	2.246573259	0.048087733	0.980572306	-3.946261828
ENSMUSG00000026728	Vim	2	13578738	13587637	+	8900	-0.2933	4.8194	-2.24262012	0.048413086	0.980572306	-3.959047212
ENSMUSG00000050022	Amz1	5	140709882	140747194	+	37313	0.2436	5.5531	2.240480751	0.048590047	0.980572306	-3.923796121
ENSMUSG00000037214	Thap1	8	26648169	26654179	+	6011	-0.3050	3.4777	-2.23797657	0.048797978	0.980572306	-4.095074642
ENSMUSG00000023272	Creld2	15	88703849	88710886	+	7038	-0.2506	4.9006	-2.237456014	0.048841309	0.980572306	-3.952383027
ENSMUSG00000004951	Hspb1	5	135916773	135918417	+	1645	-0.5351	3.0707	-2.2313784	0.049349968	0.980572306	-4.146831183
ENSMUSG00000052759	Gpr25	1	136187535	136188611	-	1077	0.4496	0.4876	2.225246373	0.049868358	0.980572306	-4.393760842
ENSMUSG00000036295	Lrrn3	12	41501667	41536430	-	34764	-0.2172	6.8528	-2.223314368	0.050032772	0.980572306	-3.94971346
ENSMUSG00000037095		17	56426678	56429001	-	2324	-1.3221	0.7830	-2.22196423	0.050147978	0.980572306	-4.362661225
ENSMUSG00000035711	Dok3	13	55671044	55677109	-	6066	-0.2196	4.8292	-2.219653117	0.050345778	0.980572306	-3.968673117
ENSMUSG00000026826	Nr4a2	2	56996842	57014015	-	17174	-1.3240	2.0139	-2.21865439	0.050431488	0.980572306	-4.275534254
ENSMUSG00000028445	Enho	4	41638144	41640324	-	2181	-0.2516	4.9348	-2.213627406	0.05086504	0.980572306	-3.964751398
ENSMUSG00000010095	Slc3a2	19	8684246	8700733	-	16488	-0.1629	6.6086	-2.213486411	0.050877252	0.980572306	-3.946788475
ENSMUSG00000112980	D430020J02Rik	12	116365567	116368830	-	3264	0.3799	2.0229	2.205552545	0.051568979	0.980572306	-4.269810278
ENSMUSG00000091971	Hspa1a	17	35188166	35191132	-	2967	-0.9590	2.8171	-2.204281799	0.051680609	0.980572306	-4.183611669
ENSMUSG00000022602	Arc	15	74540932	74544419	-	3488	-0.5808	6.9674	-2.200315268	0.052030551	0.980572306	-3.969043004
ENSMUSG00000028195	Ccn1	3	145352731	145355736	-	3006	-0.3098	3.1335	-2.199315693	0.052119096	0.980572306	-4.156399981
ENSMUSG00000115610	Gm31251	14	55216850	55229058	+	12209	0.2615	3.5398	2.192504468	0.052726322	0.980572306	-4.118639972
ENSMUSG00000097326	A330048O09Rik	13	48425889	48427360	-	1472	-0.3874	0.5213	-2.192054233	0.0527667	0.980572306	-4.397753104
ENSMUSG00000027080	Med19	2	84508746	84518559	+	9814	-0.1870	5.0101	-2.186981807	0.053223659	0.980572306	-3.977258398
ENSMUSG00000031328	Flna	X	73267067	73293426	-	26360	0.2877	7.1710	2.186245042	0.053290348	0.980572306	-3.983501286
ENSMUSG00000034616	Ssh3	19	4311696	4319208	-	7513	0.2166	5.7903	2.185909651	0.053320732	0.980572306	-3.958050362
ENSMUSG00000112977	Gm34081	12	109459455	109482666	-	23212	0.3790	3.8712	2.1836452	0.053526315	0.980572306	-4.084797452
ENSMUSG00000020492	Ska2	11	87000060	87015461	+	15402	-0.1726	4.7609	-2.176148928	0.054212322	0.980572306	-3.992872784
ENSMUSG00000019338	Zfp687	3	94913901	94922759	-	8859	0.2142	5.1808	2.173701064	0.054438156	0.980572306	-3.977779242
ENSMUSG00000024349	Sting1	18	35866732	35873607	-	6876	-0.4075	2.0166	-2.172943743	0.054508208	0.980572306	-4.275402755
ENSMUSG00000019789		10	30708355	30718797	-	10443	-0.2543	2.7126	-2.170138419	0.054768451	0.980572306	-4.206610976
ENSMUSG00000038608	Dock10	1	80478790	80736244	-	257455	0.2700	7.5072	2.168032075	0.054964634	0.980572306	-4.007238438
ENSMUSG00000035686	Thrsp	7	97062145	97066937	-	4793	-0.4194	2.1917	-2.16517502	0.055231816	0.980572306	-4.261594198
ENSMUSG00000074807	Gm10762	2	128807425	128809964	-	2540	-0.3982	0.9689	-2.164255018	0.055318116	0.980572306	-4.370639912
ENSMUSG00000045314	Sowahb	5	93188982	93192881	-	3900	-0.5628	1.8549	-2.163506906	0.055388387	0.980572306	-4.29805272
ENSMUSG00000020475	Pgam2	11	5751640	5753733	-	2094	-0.6131	1.8270	-2.163275243	0.055410165	0.980572306	-4.311794956
ENSMUSG00000053746	Ptrh1	2	32665798	32667609	+	1812	-0.4388	1.1236	-2.162907697	0.055444733	0.980572306	-4.360291115
ENSMUSG00000067367	Lyar	5	38377814	38391650	+	13837	-0.2576	3.1539	-2.160096299	0.055709836	0.980572306	-4.169311897
ENSMUSG00000092118	Fancf	7	51510325	51512015	-	1691	-0.3520	1.0023	-2.159866871	0.055731523	0.980572306	-4.365316815
ENSMUSG00000108402	9430064I24Rik	7	127399266	127401934	-	2669	-0.3205	1.8788	-2.156504216	0.056050321	0.980572306	-4.294224315
ENSMUSG00000062151	Unc13c	9	73386704	73876248	-	489545	0.4532	8.0567	2.15627107	0.056072489	0.980572306	-4.029048974
ENSMUSG00000017692	Rhbdl3	11	80191738	80246781	+	55044	0.1699	6.3138	2.154423604	0.056248448	0.980572306	-3.979093776
ENSMUSG00000024966	Stip1	19	6998070	7017335	-	19266	-0.2079	7.7348	-2.152618867	0.056420848	0.980572306	-4.022664971
ENSMUSG00000072847	A530017D24Rik	11	61755394	61758884	-	3491	-0.2463	4.2601	-2.149157579	0.056752909	0.980572306	-4.052820016
ENSMUSG00000076431	Sox4	13	29132902	29137696	-	4795	-0.2234	4.1073	-2.148232567	0.056841967	0.980572306	-4.07847632
ENSMUSG00000068220	Lgals1	15	78810925	78814665	+	3741	-0.4970	1.6899	-2.144764364	0.057177069	0.980572306	-4.320656918
ENSMUSG00000020340	Cyfip2	11	46084677	46203686	-	119010	0.2456	9.8224	2.139887683	0.057651459	0.980572306	-4.082892412
ENSMUSG00000053861	Gm9925	18	74198173	74198655	+	483	0.4910	0.4187	2.139413783	0.057697759	0.980572306	-4.412969145
ENSMUSG00000013707	Tnfaip8l2	3	95046832	95049671	-	2840	-0.4744	0.6306	-2.138011582	0.057834962	0.980572306	-4.397895995
ENSMUSG00000032763	Ilvbl	10	78410180	78420336	+	10157	0.2080	4.3162	2.132847717	0.058342931	0.980572306	-4.061192489
ENSMUSG00000051439	Cd14	18	36858120	36859851	-	1732	-0.9274	2.0773	-2.128135967	0.058810142	0.980572306	-4.280318065
ENSMUSG00000048572		19	24651372	24659597	+	8226	-1.1020	2.5766	-2.126949174	0.058928385	0.980572306	-4.237170217
ENSMUSG00000022210	Dhrs4	14	55716215	55727797	+	11583	-0.2895	3.4401	-2.126070255	0.059016101	0.980572306	-4.154562897
ENSMUSG00000095742		JH584295.1	66	1479	-	1414	-0.5343	2.0212	-2.124554741	0.05916764	0.980572306	-4.293470367
ENSMUSG00000058498	Rnf207	4	152391476	152403450	-	11975	0.2536	4.7479	2.124267434	0.059196411	0.980572306	-4.036054442
ENSMUSG00000041120	Nbl1	4	138809595	138820304	-	10710	-0.2544	3.8469	-2.122498005	0.059373892	0.980572306	-4.116079716
ENSMUSG00000024338	Psmb8	17	34416695	34420428	+	3734	-0.4200	1.2617	-2.122417116	0.059382018	0.980572306	-4.356156627
ENSMUSG00000074796	Slc4a11	2	130526033	130539439	-	13407	0.3107	4.6480	2.122324949	0.059391278	0.980572306	-4.045752988
ENSMUSG00000103082	Gm38124	3	45224422	45227002	-	2581	-0.3725	0.6921	-2.121887357	0.059435261	0.980572306	-4.394796422
ENSMUSG00000051351	Zfp46	4	136011994	136021253	+	9260	0.1761	5.4817	2.121715519	0.059452541	0.980572306	-4.004821931
ENSMUSG00000021508	Cxcl14	13	56436456	56444364	-	7909	-0.3453	6.1903	-2.120085599	0.059616686	0.980572306	-4.003977907
ENSMUSG00000079654	Prrt4	6	29169231	29179583	-	10353	0.3069	4.2307	2.11878456	0.05974802	0.980572306	-4.076004234
ENSMUSG00000019997	Ccn2	10	24471340	24474581	+	3242	-0.9501	2.7605	-2.11811349	0.05981587	0.980572306	-4.22781139
ENSMUSG00000028341		4	48045153	48086447	+	41295	-0.3952	6.2088	-2.115750522	0.060055367	0.980572306	-4.006225782
ENSMUSG00000026843	Fubp3	2	31462663	31507538	+	44876	0.1815	5.8168	2.115711411	0.060059339	0.980572306	-4.004818405
ENSMUSG00000097574	C920006O11Rik	9	78083196	78086161	+	2966	0.2938	2.1393	2.114092201	0.060223991	0.980572306	-4.287230508
ENSMUSG00000031770	Herpud1	8	95113066	95122005	+	8940	-0.2245	5.9327	-2.106651539	0.060986157	0.980572306	-4.011035378
ENSMUSG00000105592		9	111240502	111241981	+	1480	0.4478	0.2540	2.103657165	0.061295465	0.980572306	-4.424688079
ENSMUSG00000058281		2	102929500	102929946	+	447	0.7222	-1.8713	2.101883069	0.061479427	0.980572306	-4.504178176
ENSMUSG00000073838	Tufm	7	126086533	126089903	+	3371	-0.1707	5.2368	-2.100954869	0.061575885	0.980572306	-4.026142017
ENSMUSG00000025283	Sat1	X	153996128	153999445	-	3318	-0.2605	5.4620	-2.100532776	0.061619796	0.980572306	-4.020141867
ENSMUSG00000050732	Vamp8	6	72362206	72367686	-	5481	-0.3683	2.2546	-2.099892906	0.06168642	0.980572306	-4.284648279
ENSMUSG00000028063	Lmna	3	88387454	88417263	-	29810	-0.2073	4.2796	-2.099614235	0.061715457	0.980572306	-4.084729054
