Human Gene Symbol	Term	Group1	Group2	Null Value	Estimate	Lower Confidence Interval	Upper Confidence Interval	Adjusted P Value	Significance
AGK	Tissue	BRN_HIPP	BRN_NAC	0	2.2572	-0.7967	5.3110	0.3920	ns
AGK	Tissue	BRN_HIPP	BRN_PTRY	0	10.3392	7.3913	13.2872	0.0000	****
AGK	Tissue	BRN_HIPP	BRN_PUT	0	0.0654	-3.1578	3.2885	1.0000	ns
AGK	Tissue	BRN_HIPP	BRN_SN	0	-0.3057	-3.9249	3.3135	1.0000	ns
AGK	Tissue	BRN_HIPP	BRN_SPC	0	2.9380	-0.2626	6.1387	0.1080	ns
AGK	Tissue	BRN_HYP	BRN_NAC	0	0.0890	-2.8764	3.0543	1.0000	ns
AGK	Tissue	BRN_HYP	BRN_PTRY	0	8.1710	5.3148	11.0271	0.0000	****
AGK	Tissue	BRN_HYP	BRN_PUT	0	-2.1029	-5.2423	1.0365	0.5540	ns
AGK	Tissue	BRN_HYP	BRN_SN	0	-2.4739	-6.0187	1.0709	0.4870	ns
AGK	Tissue	BRN_HYP	BRN_SPC	0	0.7698	-2.3465	3.8861	1.0000	ns
AGK	Tissue	BRN_NAC	BRN_PTRY	0	8.0820	5.3201	10.8439	0.0000	****
AGK	Tissue	BRN_NAC	BRN_PUT	0	-2.1918	-5.2457	0.8620	0.4400	ns
AGK	Tissue	BRN_NAC	BRN_SN	0	-2.5629	-6.0322	0.9065	0.3930	ns
AGK	Tissue	BRN_NAC	BRN_SPC	0	0.6808	-2.3493	3.7110	1.0000	ns
AGK	Tissue	BRN_PTRY	BRN_PUT	0	-10.2738	-13.2218	-7.3259	0.0000	****
AGK	Tissue	BRN_PTRY	BRN_SN	0	-10.6449	-14.0213	-7.2684	0.0000	****
AGK	Tissue	BRN_PTRY	BRN_SPC	0	-7.4012	-10.3246	-4.4778	0.0000	****
AGK	Tissue	BRN_PUT	BRN_SN	0	-0.3710	-3.9902	3.2482	1.0000	ns
AGK	Tissue	BRN_PUT	BRN_SPC	0	2.8727	-0.3280	6.0733	0.1290	ns
AGK	Tissue	BRN_SN	BRN_SPC	0	3.2437	-0.3555	6.8429	0.1250	ns
AMZ1	Tissue	BRN_ACC	BRN_AMY	0	0.3606	-0.1838	0.9051	0.5720	ns
AMZ1	Tissue	BRN_ACC	BRN_CAU	0	-0.5718	-1.0739	-0.0697	0.0109	*
AMZ1	Tissue	BRN_ACC	BRN_CB_a	0	-1.7115	-2.2220	-1.2010	0.0000	****
AMZ1	Tissue	BRN_ACC	BRN_CTX_a	0	-0.1559	-0.6606	0.3489	0.9970	ns
AMZ1	Tissue	BRN_ACC	BRN_HIPP	0	-0.5365	-1.0602	-0.0129	0.0389	*
AMZ1	Tissue	BRN_ACC	BRN_HYP	0	-0.5326	-1.0431	-0.0221	0.0320	*
AMZ1	Tissue	BRN_ACC	BRN_NAC	0	0.3263	-0.1707	0.8233	0.5860	ns
AMZ1	Tissue	BRN_ACC	BRN_PTRY	0	-1.7007	-2.1811	-1.2204	0.0000	****
AMZ1	Tissue	BRN_ACC	BRN_PUT	0	-0.6537	-1.1774	-0.1300	0.0027	**
AMZ1	Tissue	BRN_ACC	BRN_SN	0	-0.4163	-1.0026	0.1699	0.4580	ns
AMZ1	Tissue	BRN_ACC	BRN_SPC	0	-1.5472	-2.0673	-1.0271	0.0000	****
AMZ1	Tissue	BRN_AMY	BRN_CAU	0	-0.9324	-1.4483	-0.4165	0.0000	****
AMZ1	Tissue	BRN_AMY	BRN_CB_a	0	-2.0721	-2.5963	-1.5480	0.0000	****
AMZ1	Tissue	BRN_AMY	BRN_CTX_a	0	-0.5165	-1.0350	0.0021	0.0520	ns
AMZ1	Tissue	BRN_AMY	BRN_HIPP	0	-0.8972	-1.4342	-0.3602	0.0000	****
AMZ1	Tissue	BRN_AMY	BRN_HYP	0	-0.8932	-1.4174	-0.3691	0.0000	****
AMZ1	Tissue	BRN_AMY	BRN_NAC	0	-0.0343	-0.5453	0.4767	1.0000	ns
AMZ1	Tissue	BRN_AMY	BRN_PTRY	0	-2.0613	-2.5561	-1.5665	0.0000	****
AMZ1	Tissue	BRN_AMY	BRN_PUT	0	-1.0143	-1.5513	-0.4773	0.0000	****
AMZ1	Tissue	BRN_AMY	BRN_SN	0	-0.7769	-1.3751	-0.1788	0.0014	**
AMZ1	Tissue	BRN_AMY	BRN_SPC	0	-1.9078	-2.4414	-1.3743	0.0000	****
AMZ1	Tissue	BRN_CAU	BRN_CB_a	0	-1.1397	-1.6197	-0.6598	0.0000	****
AMZ1	Tissue	BRN_CAU	BRN_CTX_a	0	0.4159	-0.0579	0.8898	0.1510	ns
AMZ1	Tissue	BRN_CAU	BRN_HIPP	0	0.0352	-0.4587	0.5292	1.0000	ns
AMZ1	Tissue	BRN_CAU	BRN_HYP	0	0.0392	-0.4408	0.5191	1.0000	ns
AMZ1	Tissue	BRN_CAU	BRN_NAC	0	0.8981	0.4325	1.3637	0.0000	****
AMZ1	Tissue	BRN_CAU	BRN_PTRY	0	-1.1289	-1.5767	-0.6812	0.0000	****
AMZ1	Tissue	BRN_CAU	BRN_PUT	0	-0.0819	-0.5759	0.4120	1.0000	ns
AMZ1	Tissue	BRN_CAU	BRN_SN	0	0.1555	-0.4044	0.7153	0.9990	ns
AMZ1	Tissue	BRN_CAU	BRN_SPC	0	-0.9754	-1.4656	-0.4852	0.0000	****
AMZ1	Tissue	BRN_CB_a	BRN_CTX_a	0	1.5557	1.0729	2.0384	0.0000	****
AMZ1	Tissue	BRN_CB_a	BRN_HIPP	0	1.1750	0.6725	1.6775	0.0000	****
AMZ1	Tissue	BRN_CB_a	BRN_HYP	0	1.1789	0.6902	1.6677	0.0000	****
AMZ1	Tissue	BRN_CB_a	BRN_NAC	0	2.0378	1.5632	2.5125	0.0000	****
AMZ1	Tissue	BRN_CB_a	BRN_PTRY	0	0.0108	-0.4464	0.4680	1.0000	ns
AMZ1	Tissue	BRN_CB_a	BRN_PUT	0	1.0578	0.5553	1.5603	0.0000	****
AMZ1	Tissue	BRN_CB_a	BRN_SN	0	1.2952	0.7278	1.8626	0.0000	****
AMZ1	Tissue	BRN_CB_a	BRN_SPC	0	0.1643	-0.3345	0.6631	0.9950	ns
AMZ1	Tissue	BRN_CTX_a	BRN_HIPP	0	-0.3807	-0.8774	0.1160	0.3340	ns
AMZ1	Tissue	BRN_CTX_a	BRN_HYP	0	-0.3768	-0.8595	0.1060	0.3060	ns
AMZ1	Tissue	BRN_CTX_a	BRN_NAC	0	0.4822	0.0137	0.9507	0.0371	*
AMZ1	Tissue	BRN_CTX_a	BRN_PTRY	0	-1.5448	-1.9956	-1.0941	0.0000	****
AMZ1	Tissue	BRN_CTX_a	BRN_PUT	0	-0.4978	-0.9945	-0.0012	0.0489	*
AMZ1	Tissue	BRN_CTX_a	BRN_SN	0	-0.2605	-0.8227	0.3018	0.9360	ns
AMZ1	Tissue	BRN_CTX_a	BRN_SPC	0	-1.3913	-1.8843	-0.8984	0.0000	****
AMZ1	Tissue	BRN_HIPP	BRN_HYP	0	0.0039	-0.4986	0.5064	1.0000	ns
AMZ1	Tissue	BRN_HIPP	BRN_NAC	0	0.8629	0.3740	1.3517	0.0000	****
AMZ1	Tissue	BRN_HIPP	BRN_PTRY	0	-1.1642	-1.6360	-0.6923	0.0000	****
AMZ1	Tissue	BRN_HIPP	BRN_PUT	0	-0.1172	-0.6331	0.3988	1.0000	ns
AMZ1	Tissue	BRN_HIPP	BRN_SN	0	0.1202	-0.4591	0.6995	1.0000	ns
AMZ1	Tissue	BRN_HIPP	BRN_SPC	0	-1.0107	-1.5230	-0.4983	0.0000	****
AMZ1	Tissue	BRN_HYP	BRN_NAC	0	0.8589	0.3843	1.3336	0.0000	****
AMZ1	Tissue	BRN_HYP	BRN_PTRY	0	-1.1681	-1.6253	-0.7109	0.0000	****
AMZ1	Tissue	BRN_HYP	BRN_PUT	0	-0.1211	-0.6236	0.3814	1.0000	ns
AMZ1	Tissue	BRN_HYP	BRN_SN	0	0.1163	-0.4511	0.6837	1.0000	ns
AMZ1	Tissue	BRN_HYP	BRN_SPC	0	-1.0146	-1.5134	-0.5158	0.0000	****
AMZ1	Tissue	BRN_NAC	BRN_PTRY	0	-2.0270	-2.4691	-1.5849	0.0000	****
AMZ1	Tissue	BRN_NAC	BRN_PUT	0	-0.9800	-1.4689	-0.4912	0.0000	****
AMZ1	Tissue	BRN_NAC	BRN_SN	0	-0.7426	-1.2980	-0.1873	0.0008	***
AMZ1	Tissue	BRN_NAC	BRN_SPC	0	-1.8735	-2.3586	-1.3885	0.0000	****
AMZ1	Tissue	BRN_PTRY	BRN_PUT	0	1.0470	0.5751	1.5189	0.0000	****
AMZ1	Tissue	BRN_PTRY	BRN_SN	0	1.2844	0.7439	1.8248	0.0000	****
AMZ1	Tissue	BRN_PTRY	BRN_SPC	0	0.1535	-0.3144	0.6214	0.9960	ns
AMZ1	Tissue	BRN_PUT	BRN_SN	0	0.2374	-0.3419	0.8167	0.9730	ns
AMZ1	Tissue	BRN_PUT	BRN_SPC	0	-0.8935	-1.4058	-0.3812	0.0000	****
AMZ1	Tissue	BRN_SN	BRN_SPC	0	-1.1309	-1.7070	-0.5548	0.0000	****
B2M	Tissue	BRN_ACC	BRN_AMY	0	85.0654	-212.0981	382.2290	0.9990	ns
B2M	Tissue	BRN_ACC	BRN_CAU	0	-11.7288	-285.7548	262.2973	1.0000	ns
B2M	Tissue	BRN_ACC	BRN_CB_a	0	-131.0959	-409.7208	147.5289	0.9290	ns
B2M	Tissue	BRN_ACC	BRN_CTX_a	0	-13.1942	-288.6867	262.2984	1.0000	ns
B2M	Tissue	BRN_ACC	BRN_HIPP	0	43.9546	-241.8745	329.7836	1.0000	ns
B2M	Tissue	BRN_ACC	BRN_HYP	0	133.1472	-145.4777	411.7720	0.9210	ns
B2M	Tissue	BRN_ACC	BRN_NAC	0	-16.6414	-287.9134	254.6305	1.0000	ns
B2M	Tissue	BRN_ACC	BRN_PTRY	0	494.9026	232.7262	757.0791	0.0000	****
B2M	Tissue	BRN_ACC	BRN_PUT	0	-25.9917	-311.8208	259.8373	1.0000	ns
B2M	Tissue	BRN_ACC	BRN_SN	0	107.2183	-212.7567	427.1933	0.9950	ns
B2M	Tissue	BRN_ACC	BRN_SPC	0	493.0546	209.1587	776.9506	0.0000	****
B2M	Tissue	BRN_AMY	BRN_CAU	0	-96.7942	-378.3885	184.8001	0.9930	ns
B2M	Tissue	BRN_AMY	BRN_CB_a	0	-216.1613	-502.2328	69.9101	0.3560	ns
B2M	Tissue	BRN_AMY	BRN_CTX_a	0	-98.2596	-381.2811	184.7620	0.9930	ns
B2M	Tissue	BRN_AMY	BRN_HIPP	0	-41.1109	-334.2035	251.9818	1.0000	ns
B2M	Tissue	BRN_AMY	BRN_HYP	0	48.0817	-237.9897	334.1532	1.0000	ns
B2M	Tissue	BRN_AMY	BRN_NAC	0	-101.7069	-380.6218	177.2081	0.9890	ns
B2M	Tissue	BRN_AMY	BRN_PTRY	0	409.8372	139.7602	679.9141	0.0001	****
B2M	Tissue	BRN_AMY	BRN_PUT	0	-111.0571	-404.1498	182.0355	0.9850	ns
B2M	Tissue	BRN_AMY	BRN_SN	0	22.1529	-304.3269	348.6326	1.0000	ns
B2M	Tissue	BRN_AMY	BRN_SPC	0	407.9892	116.7814	699.1970	0.0003	***
B2M	Tissue	BRN_CAU	BRN_CB_a	0	-119.3671	-381.3232	142.5889	0.9420	ns
B2M	Tissue	BRN_CAU	BRN_CTX_a	0	-1.4654	-260.0873	257.1565	1.0000	ns
B2M	Tissue	BRN_CAU	BRN_HIPP	0	55.6833	-213.9227	325.2893	1.0000	ns
B2M	Tissue	BRN_CAU	BRN_HYP	0	144.8759	-117.0801	406.8320	0.8110	ns
B2M	Tissue	BRN_CAU	BRN_NAC	0	-4.9127	-259.0340	249.2087	1.0000	ns
B2M	Tissue	BRN_CAU	BRN_PTRY	0	506.6314	262.2430	751.0197	0.0000	****
B2M	Tissue	BRN_CAU	BRN_PUT	0	-14.2630	-283.8690	255.3431	1.0000	ns
B2M	Tissue	BRN_CAU	BRN_SN	0	118.9471	-186.6231	424.5173	0.9820	ns
B2M	Tissue	BRN_CAU	BRN_SPC	0	504.7834	237.2277	772.3392	0.0000	****
B2M	Tissue	BRN_CB_a	BRN_CTX_a	0	117.9017	-145.5880	381.3914	0.9490	ns
B2M	Tissue	BRN_CB_a	BRN_HIPP	0	175.0505	-99.2284	449.3294	0.6290	ns
B2M	Tissue	BRN_CB_a	BRN_HYP	0	264.2431	-2.5199	531.0061	0.0549	ns
B2M	Tissue	BRN_CB_a	BRN_NAC	0	114.4545	-144.6192	373.5281	0.9540	ns
B2M	Tissue	BRN_CB_a	BRN_PTRY	0	625.9985	376.4646	875.5325	0.0000	****
B2M	Tissue	BRN_CB_a	BRN_PUT	0	105.1042	-169.1747	379.3831	0.9840	ns
B2M	Tissue	BRN_CB_a	BRN_SN	0	238.3142	-71.3867	548.0151	0.3280	ns
B2M	Tissue	BRN_CB_a	BRN_SPC	0	624.1506	351.8867	896.4144	0.0000	****
B2M	Tissue	BRN_CTX_a	BRN_HIPP	0	57.1487	-213.9477	328.2451	1.0000	ns
B2M	Tissue	BRN_CTX_a	BRN_HYP	0	146.3413	-117.1484	409.8310	0.8070	ns
B2M	Tissue	BRN_CTX_a	BRN_NAC	0	-3.4473	-259.1493	252.2547	1.0000	ns
B2M	Tissue	BRN_CTX_a	BRN_PTRY	0	508.0968	262.0653	754.1283	0.0000	****
B2M	Tissue	BRN_CTX_a	BRN_PUT	0	-12.7976	-283.8939	258.2988	1.0000	ns
B2M	Tissue	BRN_CTX_a	BRN_SN	0	120.4125	-186.4735	427.2984	0.9810	ns
B2M	Tissue	BRN_CTX_a	BRN_SPC	0	506.2488	237.1913	775.3063	0.0000	****
B2M	Tissue	BRN_HIPP	BRN_HYP	0	89.1926	-185.0863	363.4715	0.9960	ns
B2M	Tissue	BRN_HIPP	BRN_NAC	0	-60.5960	-327.4023	206.2103	1.0000	ns
B2M	Tissue	BRN_HIPP	BRN_PTRY	0	450.9480	193.3949	708.5012	0.0000	****
B2M	Tissue	BRN_HIPP	BRN_PUT	0	-69.9463	-351.5406	211.6480	1.0000	ns
B2M	Tissue	BRN_HIPP	BRN_SN	0	63.2637	-252.9341	379.4616	1.0000	ns
B2M	Tissue	BRN_HIPP	BRN_SPC	0	449.1001	169.4681	728.7320	0.0000	****
B2M	Tissue	BRN_HYP	BRN_NAC	0	-149.7886	-408.8623	109.2851	0.7630	ns
B2M	Tissue	BRN_HYP	BRN_PTRY	0	361.7554	112.2215	611.2894	0.0001	***
B2M	Tissue	BRN_HYP	BRN_PUT	0	-159.1389	-433.4178	115.1400	0.7580	ns
B2M	Tissue	BRN_HYP	BRN_SN	0	-25.9289	-335.6298	283.7721	1.0000	ns
B2M	Tissue	BRN_HYP	BRN_SPC	0	359.9075	87.6436	632.1713	0.0010	***
B2M	Tissue	BRN_NAC	BRN_PTRY	0	511.5441	270.2479	752.8403	0.0000	****
B2M	Tissue	BRN_NAC	BRN_PUT	0	-9.3503	-276.1566	257.4560	1.0000	ns
B2M	Tissue	BRN_NAC	BRN_SN	0	123.8597	-179.2431	426.9626	0.9740	ns
B2M	Tissue	BRN_NAC	BRN_SPC	0	509.6961	244.9617	774.4304	0.0000	****
B2M	Tissue	BRN_PTRY	BRN_PUT	0	-520.8943	-778.4475	-263.3412	0.0000	****
B2M	Tissue	BRN_PTRY	BRN_SN	0	-387.6843	-682.6748	-92.6939	0.0011	**
B2M	Tissue	BRN_PTRY	BRN_SPC	0	-1.8480	-257.2541	253.5581	1.0000	ns
B2M	Tissue	BRN_PUT	BRN_SN	0	133.2100	-182.9879	449.4079	0.9670	ns
B2M	Tissue	BRN_PUT	BRN_SPC	0	519.0464	239.4144	798.6783	0.0000	****
B2M	Tissue	BRN_SN	BRN_SPC	0	385.8364	71.3848	700.2879	0.0036	**
BCAS1	Tissue	BRN_ACC	BRN_AMY	0	99.2934	16.4777	182.1091	0.0052	**
BCAS1	Tissue	BRN_ACC	BRN_CAU	0	-2.3814	-78.7490	73.9862	1.0000	ns
BCAS1	Tissue	BRN_ACC	BRN_CB_a	0	-62.1937	-139.8429	15.4555	0.2670	ns
BCAS1	Tissue	BRN_ACC	BRN_CTX_a	0	7.5174	-69.2589	84.2937	1.0000	ns
BCAS1	Tissue	BRN_ACC	BRN_HIPP	0	113.1391	33.4821	192.7960	0.0002	***
BCAS1	Tissue	BRN_ACC	BRN_HYP	0	65.0134	-12.6359	142.6626	0.2070	ns
BCAS1	Tissue	BRN_ACC	BRN_NAC	0	-20.6398	-96.2399	54.9602	0.9990	ns
BCAS1	Tissue	BRN_ACC	BRN_PTRY	0	-99.1872	-172.2525	-26.1220	0.0006	***
BCAS1	Tissue	BRN_ACC	BRN_PUT	0	87.7406	8.0837	167.3976	0.0168	*
BCAS1	Tissue	BRN_ACC	BRN_SN	0	224.1667	134.9937	313.3397	0.0000	****
BCAS1	Tissue	BRN_ACC	BRN_SPC	0	720.0461	640.9278	799.1643	0.0000	****
BCAS1	Tissue	BRN_AMY	BRN_CAU	0	-101.6748	-180.1516	-23.1981	0.0014	**
BCAS1	Tissue	BRN_AMY	BRN_CB_a	0	-161.4871	-241.2116	-81.7626	0.0000	****
BCAS1	Tissue	BRN_AMY	BRN_CTX_a	0	-91.7760	-170.6505	-12.9015	0.0081	**
BCAS1	Tissue	BRN_AMY	BRN_HIPP	0	13.8457	-67.8355	95.5269	1.0000	ns
BCAS1	Tissue	BRN_AMY	BRN_HYP	0	-34.2800	-114.0045	45.4445	0.9620	ns
BCAS1	Tissue	BRN_AMY	BRN_NAC	0	-119.9332	-197.6633	-42.2032	0.0000	****
BCAS1	Tissue	BRN_AMY	BRN_PTRY	0	-198.4806	-273.7477	-123.2136	0.0000	****
BCAS1	Tissue	BRN_AMY	BRN_PUT	0	-11.5528	-93.2340	70.1284	1.0000	ns
BCAS1	Tissue	BRN_AMY	BRN_SN	0	124.8733	33.8875	215.8591	0.0005	***
BCAS1	Tissue	BRN_AMY	BRN_SPC	0	620.7527	539.5967	701.9086	0.0000	****
BCAS1	Tissue	BRN_CAU	BRN_CB_a	0	-59.8122	-132.8161	13.1916	0.2360	ns
BCAS1	Tissue	BRN_CAU	BRN_CTX_a	0	9.8988	-62.1758	81.9735	1.0000	ns
BCAS1	Tissue	BRN_CAU	BRN_HIPP	0	115.5205	40.3847	190.6563	0.0000	****
BCAS1	Tissue	BRN_CAU	BRN_HYP	0	67.3948	-5.6090	140.3986	0.1030	ns
BCAS1	Tissue	BRN_CAU	BRN_NAC	0	-18.2584	-89.0788	52.5620	1.0000	ns
BCAS1	Tissue	BRN_CAU	BRN_PTRY	0	-96.8058	-164.9137	-28.6979	0.0002	***
BCAS1	Tissue	BRN_CAU	BRN_PUT	0	90.1221	14.9863	165.2579	0.0052	**
BCAS1	Tissue	BRN_CAU	BRN_SN	0	226.5482	141.3896	311.7067	0.0000	****
BCAS1	Tissue	BRN_CAU	BRN_SPC	0	722.4275	647.8631	796.9919	0.0000	****
BCAS1	Tissue	BRN_CB_a	BRN_CTX_a	0	69.7111	-3.7202	143.1423	0.0814	ns
BCAS1	Tissue	BRN_CB_a	BRN_HIPP	0	175.3327	98.8947	251.7708	0.0000	****
BCAS1	Tissue	BRN_CB_a	BRN_HYP	0	127.2071	52.8636	201.5505	0.0000	****
BCAS1	Tissue	BRN_CB_a	BRN_NAC	0	41.5538	-30.6467	113.7544	0.7680	ns
BCAS1	Tissue	BRN_CB_a	BRN_PTRY	0	-36.9935	-106.5355	32.5484	0.8480	ns
BCAS1	Tissue	BRN_CB_a	BRN_PUT	0	149.9343	73.4963	226.3724	0.0000	****
BCAS1	Tissue	BRN_CB_a	BRN_SN	0	286.3604	200.0507	372.6701	0.0000	****
BCAS1	Tissue	BRN_CB_a	BRN_SPC	0	782.2397	706.3633	858.1162	0.0000	****
BCAS1	Tissue	BRN_CTX_a	BRN_HIPP	0	105.6217	30.0705	181.1728	0.0003	***
BCAS1	Tissue	BRN_CTX_a	BRN_HYP	0	57.4960	-15.9353	130.9272	0.3010	ns
BCAS1	Tissue	BRN_CTX_a	BRN_NAC	0	-28.1573	-99.4182	43.1037	0.9800	ns
BCAS1	Tissue	BRN_CTX_a	BRN_PTRY	0	-106.7046	-175.2705	-38.1388	0.0000	****
BCAS1	Tissue	BRN_CTX_a	BRN_PUT	0	80.2232	4.6721	155.7744	0.0262	*
BCAS1	Tissue	BRN_CTX_a	BRN_SN	0	216.6493	131.1241	302.1745	0.0000	****
BCAS1	Tissue	BRN_CTX_a	BRN_SPC	0	712.5287	637.5457	787.5116	0.0000	****
BCAS1	Tissue	BRN_HIPP	BRN_HYP	0	-48.1257	-124.5638	28.3124	0.6490	ns
BCAS1	Tissue	BRN_HIPP	BRN_NAC	0	-133.7789	-208.1344	-59.4234	0.0000	****
BCAS1	Tissue	BRN_HIPP	BRN_PTRY	0	-212.3263	-284.1031	-140.5495	0.0000	****
BCAS1	Tissue	BRN_HIPP	BRN_PUT	0	-25.3984	-103.8752	53.0783	0.9960	ns
BCAS1	Tissue	BRN_HIPP	BRN_SN	0	111.0277	22.9073	199.1480	0.0023	**
BCAS1	Tissue	BRN_HIPP	BRN_SPC	0	606.9070	528.9771	684.8369	0.0000	****
BCAS1	Tissue	BRN_HYP	BRN_NAC	0	-85.6532	-157.8538	-13.4527	0.0061	**
BCAS1	Tissue	BRN_HYP	BRN_PTRY	0	-164.2006	-233.7426	-94.6587	0.0000	****
BCAS1	Tissue	BRN_HYP	BRN_PUT	0	22.7273	-53.7108	99.1653	0.9980	ns
BCAS1	Tissue	BRN_HYP	BRN_SN	0	159.1533	72.8436	245.4631	0.0000	****
BCAS1	Tissue	BRN_HYP	BRN_SPC	0	655.0327	579.1562	730.9092	0.0000	****
BCAS1	Tissue	BRN_NAC	BRN_PTRY	0	-78.5474	-145.7936	-11.3012	0.0077	**
BCAS1	Tissue	BRN_NAC	BRN_PUT	0	108.3805	34.0249	182.7360	0.0001	***
BCAS1	Tissue	BRN_NAC	BRN_SN	0	244.8066	160.3356	329.2775	0.0000	****
BCAS1	Tissue	BRN_NAC	BRN_SPC	0	740.6859	666.9078	814.4640	0.0000	****
BCAS1	Tissue	BRN_PTRY	BRN_PUT	0	186.9279	115.1511	258.7047	0.0000	****
BCAS1	Tissue	BRN_PTRY	BRN_SN	0	323.3539	241.1438	405.5640	0.0000	****
BCAS1	Tissue	BRN_PTRY	BRN_SPC	0	819.2333	748.0548	890.4117	0.0000	****
BCAS1	Tissue	BRN_PUT	BRN_SN	0	136.4261	48.3057	224.5464	0.0000	****
BCAS1	Tissue	BRN_PUT	BRN_SPC	0	632.3054	554.3755	710.2353	0.0000	****
