Original Gene ID	Gene.Name	Chr	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSRNOG00000068448	Arl15	2	45438242	45822559	+	384318	-0.8856	8.7791	-4.06766734	0.002281047	0.297302921	-1.166116014
ENSRNOG00000012302	Gucy1a1	2	167418640	167481671	-	63032	-0.9904	7.6261	-4.060387387	0.00230777	0.297302921	-1.170863751
ENSRNOG00000068287		2	117170926	117209919	-	38994	-0.8679	5.7784	-4.05948292	0.002311113	0.297302921	-1.178149857
ENSRNOG00000019212	Tpp1	1	160096833	160104129	-	7297	0.7886	5.3399	4.052219017	0.002338146	0.297302921	-1.187287664
ENSRNOG00000007367	Septin4	10	72366873	72390768	+	23896	0.7266	5.7523	4.045181377	0.002364654	0.297302921	-1.201486029
ENSRNOG00000011323	Lgi3	15	45605611	45612739	+	7129	1.4459	2.4937	4.248266632	0.001712489	0.290783218	-1.227427842
ENSRNOG00000014046	Sertm1	2	139086908	139106459	-	19552	1.5178	2.7280	4.189165443	0.001880025	0.290783218	-1.230140261
ENSRNOG00000067065	Capns1	1	85444608	85454795	-	10188	0.8344	4.7359	4.002612228	0.002531873	0.297302921	-1.253423389
ENSRNOG00000006086	Lynx1	7	106632797	106638023	-	5227	0.7896	5.2748	3.978951252	0.002630144	0.297302921	-1.291010008
ENSRNOG00000013408	Npas2	9	41463830	41642320	+	178491	-0.7683	7.4038	-3.971427504	0.002662224	0.297302921	-1.302019467
ENSRNOG00000006076	Steap2	4	28348362	28375791	+	27430	0.9757	3.8594	3.980945252	0.00262171	0.297302921	-1.311212598
ENSRNOG00000013436	Pde7b	1	15182704	15492900	-	310197	-0.9895	9.4025	-3.968412704	0.002675194	0.297302921	-1.316007615
ENSRNOG00000016246	Tshz1	18	77377394	77453509	-	76116	-0.7530	5.6714	-3.957405998	0.00272311	0.297302921	-1.329213331
ENSRNOG00000001596	Atp5mc3	3	58810535	58814279	-	3745	0.7601	5.2616	3.948852594	0.002760968	0.297302921	-1.338697601
ENSRNOG00000014268	Abca2	3	8244639	8264537	+	19899	0.7034	5.8425	3.931109404	0.00284127	0.297302921	-1.372546345
ENSRNOG00000023657	Gprin3	4	88563607	88657429	-	93823	-0.8862	7.4744	-3.9100671	0.002939686	0.297302921	-1.391445017
ENSRNOG00000009734	Akr1b10	4	63040169	63053852	+	13684	1.1445	3.2787	3.941564913	0.002793659	0.297302921	-1.424601829
ENSRNOG00000006729	Slc24a4	6	121280031	121414949	+	134919	-0.7948	6.8107	-3.892538699	0.003024393	0.297302921	-1.424708627
ENSRNOG00000027012	Usp54	15	3659240	3757711	+	98472	0.8110	7.4165	3.885170831	0.003060759	0.297302921	-1.429774811
ENSRNOG00000014882	Fgf11	10	54517077	54522062	-	4986	1.6138	2.5505	4.051733468	0.002339965	0.297302921	-1.439028856
ENSRNOG00000014874	Zfyve28	14	76468424	76554039	+	85616	-0.9162	6.4296	-3.883448296	0.003069326	0.297302921	-1.440907052
ENSRNOG00000010065	Dgkh	15	53991481	54150706	-	159226	-0.8201	7.4082	-3.875618938	0.003108586	0.297302921	-1.443122045
ENSRNOG00000017503	Ppargc1b	18	54758902	54861194	-	102293	-0.7202	5.9279	-3.859110267	0.0031931	0.297302921	-1.478334409
ENSRNOG00000010650	Plekhh1	6	97839288	97888709	+	49422	0.7786	4.9128	3.838879267	0.003299959	0.297302921	-1.495148773
ENSRNOG00000038328	Gjc2	10	43962642	43970467	-	7826	1.4323	2.3264	4.043190433	0.00237221	0.297302921	-1.497028719
ENSRNOG00000027240	Kndc1	1	194690135	194738362	+	48228	0.7026	6.0945	3.84363332	0.003274517	0.297302921	-1.504573278
ENSRNOG00000009783	Camk2g	15	3504085	3563050	+	58966	0.7765	5.8633	3.836436278	0.003313114	0.297302921	-1.514336201
ENSRNOG00000005561	Brinp1	5	82348930	82493150	-	144221	-0.7734	7.8652	-3.823617401	0.003383043	0.297302921	-1.515197485
ENSRNOG00000006329	Peli1	14	95254589	95308285	+	53697	-0.7093	6.6918	-3.820434832	0.003400643	0.297302921	-1.534272601
ENSRNOG00000001242	Gstt3	20	12874854	12882599	+	7746	0.9578	4.0678	3.810848099	0.003454238	0.297302921	-1.536383408
ENSRNOG00000018285	Kcna2	2	194704639	194718400	+	13762	0.7125	7.0315	3.815945254	0.003425633	0.297302921	-1.537921015
ENSRNOG00000064053	Ctxnd1	1	138495716	138547754	+	52039	0.7683	4.8590	3.805102918	0.003486779	0.297302921	-1.543751254
ENSRNOG00000019584	Dlk1	6	128410316	128417522	+	7207	0.9971	3.6127	3.822235572	0.003390673	0.297302921	-1.545401186
ENSRNOG00000009629	Car2	2	86741626	86756818	-	15193	0.8310	6.3629	3.812688421	0.003443881	0.297302921	-1.549340103
ENSRNOG00000014264	Phactr1	17	21562721	22039831	-	477111	-1.1737	11.9410	-3.879264097	0.003090242	0.297302921	-1.550430556
ENSRNOG00000002636	Abat	10	6999819	7092835	-	93017	-0.6961	5.7137	-3.800094835	0.003515406	0.297302921	-1.564606838
ENSRNOG00000018445	Agt	19	52529185	52540977	-	11793	1.3482	3.3357	3.825955894	0.003370172	0.297302921	-1.567476681
ENSRNOG00000009033	Cntn2	13	43947265	43975887	-	28623	0.7636	4.9027	3.786392089	0.003594996	0.297955185	-1.572721736
ENSRNOG00000001235	Gna12	12	13805698	13886255	+	80558	0.6735	6.1796	3.784352583	0.003607003	0.297955185	-1.594247316
ENSRNOG00000008673	Arpc3	12	34172780	34186651	-	13872	1.0419	3.5051	3.776415949	0.003654124	0.298378103	-1.614565956
ENSRNOG00000012286	Il20ra	1	14451228	14493602	+	42375	-1.0204	4.0858	-3.744820182	0.00384818	0.309639257	-1.630196014
ENSRNOG00000001837	Sst	11	76956896	76958173	+	1278	0.8247	4.8857	3.725294339	0.003973454	0.309639257	-1.655837944
ENSRNOG00000006570	Plekhg3	6	95266058	95310359	+	44302	0.7639	4.6142	3.719723787	0.004009968	0.309639257	-1.664500173
ENSRNOG00000003947	Ntn1	10	52899934	53085326	-	185393	-0.7150	6.3727	-3.722848623	0.003989442	0.309639257	-1.684444978
ENSRNOG00000002730	Rgs5	13	81836304	81885518	+	49215	0.8905	4.8122	3.707338245	0.004092412	0.31143176	-1.685623519
ENSRNOG00000011310	Pde10a	1	51770132	52216563	-	446432	-1.0624	10.0183	-3.675230155	0.00431447	0.314491275	-1.735297509
ENSRNOG00000006962	Stk32c	1	193900718	193981723	-	81006	-0.8371	5.5758	-3.682157166	0.004265524	0.314491275	-1.740875702
ENSRNOG00000019219	Vamp1	4	158012663	158019349	+	6687	0.7772	4.7162	3.665566261	0.004383735	0.314491275	-1.74577975
ENSRNOG00000052758	Cyria	6	35045208	35150668	+	105461	-0.8172	7.4188	-3.671203837	0.004343189	0.314491275	-1.748359743
ENSRNOG00000017833	Actn2	17	58142625	58210622	+	67998	-0.8207	5.2914	-3.659615676	0.004426961	0.314491275	-1.769204444
ENSRNOG00000019926	Ramp1	9	91781285	91816151	+	34867	-1.2032	4.4778	-3.599995836	0.004885334	0.330325402	-1.83486336
ENSRNOG00000005299	Kif5a	7	63049424	63092858	-	43435	0.6963	7.3248	3.613025325	0.00478111	0.330325402	-1.839682633
ENSRNOG00000020444	Hcn3	2	174551680	174565966	-	14287	1.3010	2.3519	3.722781316	0.003989883	0.309639257	-1.848104637
ENSRNOG00000007329	Frmd6	6	89346035	89419579	+	73545	-0.6601	5.9111	-3.611734839	0.004791328	0.330325402	-1.854051541
ENSRNOG00000000775	Mog	20	1513239	1523474	+	10236	0.7477	4.9012	3.57947982	0.005054255	0.330325402	-1.881548561
ENSRNOG00000036869	Tmem88b	5	166391080	166393904	-	2825	1.2162	2.8203	3.625778749	0.004681331	0.329269059	-1.888341543
ENSRNOG00000047436	Cabyr	18	3892132	3903840	+	11709	0.9885	3.4478	3.57560102	0.005086868	0.330325402	-1.890030214
ENSRNOG00000026793	Nt5dc3	7	21190554	21247374	+	56821	-0.7062	5.0112	-3.569950044	0.005134772	0.330325402	-1.897258112
ENSRNOG00000057729	Strip2	4	58536055	58578291	+	42237	-0.8457	6.8580	-3.564854529	0.00517837	0.330325402	-1.918840082
ENSRNOG00000003386	Rbfox3	10	103720636	104156935	-	436300	-0.7379	8.3547	-3.541972137	0.005378943	0.330325402	-1.926207265
ENSRNOG00000004621	Rtn4	14	103449930	103497686	+	47757	0.6749	7.1462	3.550305602	0.005304979	0.330325402	-1.93872235
ENSRNOG00000014311	Slc7a8	15	28183015	28242717	-	59703	-0.6641	5.9083	-3.55503807	0.005263447	0.330325402	-1.941444628
ENSRNOG00000001295	S100b	20	12372881	12394743	-	21863	0.7168	8.1578	3.530553921	0.005482026	0.330325402	-1.947319927
ENSRNOG00000003512	Gabra1	10	26595160	26650864	-	55705	0.8930	7.6295	3.525600561	0.00552738	0.330325402	-1.964797178
ENSRNOG00000019065	Zfp385b	3	62355196	62640510	-	285315	-0.7646	8.4610	-3.514528321	0.005630173	0.330325402	-1.965337021
ENSRNOG00000007234	Cyp51	4	30036865	30055410	+	18546	0.7010	4.8472	3.52105738	0.005569321	0.330325402	-1.969086181
ENSRNOG00000002653	Kcnk2	13	100766113	100963435	-	197323	-0.6980	6.4760	-3.5348392	0.005443101	0.330325402	-1.971893668
ENSRNOG00000000168	Gatm	3	109658951	109684129	-	25179	0.7952	5.6009	3.530931541	0.005478585	0.330325402	-1.975641676
ENSRNOG00000064094		15	8017311	8028588	-	11278	-0.9163	4.0985	-3.498603176	0.005781506	0.330325402	-1.980223236
ENSRNOG00000008428	Drd2	8	49708927	49772875	+	63949	-0.8953	7.0377	-3.516444554	0.005612242	0.330325402	-1.990321862
ENSRNOG00000004731	Ano3	3	97238354	97550154	-	311801	-0.7283	8.0052	-3.501168103	0.00575685	0.330325402	-1.993617168
ENSRNOG00000006867	Etv1	6	55590234	55681775	+	91542	0.6941	6.1446	3.518204206	0.005595829	0.330325402	-2.001356336
ENSRNOG00000063049	Pnma8c	1	77669078	77673858	+	4781	0.6385	5.7661	3.516168018	0.005614826	0.330325402	-2.004391014
ENSRNOG00000020206	Ctsd	1	197527467	197539488	-	12022	0.7245	4.5457	3.488937176	0.00587541	0.331261192	-2.00566536
ENSRNOG00000012655	Adamts6	2	35421510	35633298	+	211789	-0.6483	6.5708	-3.503761393	0.005732032	0.330325402	-2.018648256
ENSRNOG00000067998		17	70904405	71130427	+	226023	-0.8522	9.9247	-3.472039465	0.006043382	0.333091527	-2.019573989
ENSRNOG00000033026	Dclk3	8	111401358	111453999	+	52642	-0.9309	5.4464	-3.495414174	0.005812314	0.330325402	-2.021703615
ENSRNOG00000001911	Map6d1	11	80734148	80740377	+	6230	1.0528	3.4322	3.477374592	0.005989817	0.333091527	-2.024850733
ENSRNOG00000009967	Otof	6	25928055	26024631	+	96577	-1.0606	5.5282	-3.470239204	0.006061568	0.333091527	-2.059432929
ENSRNOG00000018603	Carns1	1	201459076	201469845	-	10770	1.1190	2.8882	3.466902557	0.006095425	0.333091527	-2.080159935
ENSRNOG00000069679		7	127402737	127422676	-	19940	-0.8900	4.4963	-3.428482336	0.006499675	0.34457979	-2.089384769
ENSRNOG00000016690	Idi1	17	61629594	61637357	-	7764	1.5860	1.4962	3.696690899	0.004164698	0.31143176	-2.097062373
ENSRNOG00000016552	Hmgcs1	2	51649497	51667100	+	17604	0.6161	5.8697	3.45572489	0.006210278	0.336777188	-2.099236316
ENSRNOG00000045892	Cfl2	6	72355664	72359674	-	4011	0.6613	5.3677	3.444222765	0.006330804	0.340712349	-2.106678293
ENSRNOG00000064451		19	45260610	45263829	-	3220	1.3883	2.0916	3.53280814	0.005461514	0.330325402	-2.120077495
ENSRNOG00000025235	Tmem130	12	9837055	9862840	+	25786	0.6298	6.9107	3.431229699	0.006469868	0.34457979	-2.126654934
ENSRNOG00000003800	Rgs9	10	94197054	94270892	-	73839	-1.0676	8.3884	-3.397575187	0.006844947	0.353003308	-2.140953655
ENSRNOG00000005776	Bcl11b	6	126834531	126928224	-	93694	-0.7568	6.6480	-3.420702252	0.006584857	0.346509814	-2.145860685
ENSRNOG00000002660	Magee1	X	70189187	70192810	+	3624	0.7464	4.3008	3.387249032	0.006964481	0.353003308	-2.147860548
ENSRNOG00000020102	Sirt2	1	84052903	84076975	+	24073	0.6242	5.4768	3.415258025	0.00664515	0.347111368	-2.154911108
ENSRNOG00000012995	Gpr165	X	61543906	61549691	+	5786	1.3238	4.9845	3.383671053	0.0070064	0.353003308	-2.175791389
ENSRNOG00000001991	Atp5po	11	31165217	31171592	-	6376	0.6570	4.9268	3.386705227	0.006970835	0.353003308	-2.176544903
ENSRNOG00000013397	Foxo1	2	136312168	136387790	+	75623	-0.6383	7.1834	-3.391798483	0.006911554	0.353003308	-2.179489706
ENSRNOG00000002229	Adcy5	11	65471612	65618974	-	147363	-0.7864	8.3584	-3.36707723	0.007204244	0.353847797	-2.188059638
ENSRNOG00000006565	Fstl4	10	36911420	37338588	+	427169	-0.6770	8.0324	-3.367129272	0.007203614	0.353847797	-2.196174071
ENSRNOG00000056457	Gpd1	7	130844138	130851529	+	7392	0.8476	3.7562	3.347039877	0.007450848	0.359577895	-2.198298793
ENSRNOG00000001376	Mettl7a	7	131451641	131460154	+	8514	0.7933	3.9827	3.341652749	0.007518622	0.359577895	-2.207120101
ENSRNOG00000026716	Rpl9	14	42893942	42897136	+	3195	0.6557	5.0530	3.368651059	0.007185234	0.353847797	-2.211116059
ENSRNOG00000015290	Tpi1	4	157615386	157619541	-	4156	0.6576	5.0797	3.365578001	0.0072224	0.353847797	-2.217062324
ENSRNOG00000019711	Isoc1	18	52158790	52178703	+	19914	0.9394	4.0286	3.334786254	0.00760593	0.359577895	-2.21779848
ENSRNOG00000002595	Dpp10	13	34595868	36269292	-	1673425	-0.8722	10.2108	-3.31809525	0.007822541	0.359644669	-2.239828813
ENSRNOG00000017133	4833439L19Rik	17	10049160	10061819	+	12660	0.6772	4.6423	3.334024541	0.007615679	0.359577895	-2.243680132
ENSRNOG00000060437	AC239701.1	JACYVU010000493.1	115389	142998	-	27610	-8.8105	0.0383	-8.587490034	6.50075E-06	0.046181308	-2.249541198
ENSRNOG00000011305	Sox10	7	110725274	110735544	-	10271	0.9147	3.4704	3.307494477	0.007963404	0.359644669	-2.258280703
ENSRNOG00000018404	Aars1	19	38999163	39021147	+	21985	0.7688	4.7304	3.318901835	0.007811928	0.359644669	-2.269937231
ENSRNOG00000000111	Coprs	16	75720061	75726375	+	6315	1.1889	2.3299	3.360419957	0.007285228	0.354481254	-2.282124434
ENSRNOG00000025527	Mtcl1	9	106321098	106442203	-	121106	-0.7653	6.6425	-3.331891072	0.007643055	0.359577895	-2.283528851
ENSRNOG00000014528	Zswim6	2	39212949	39378924	-	165976	-0.6761	8.1656	-3.304730092	0.008000565	0.359644669	-2.28741452
ENSRNOG00000046005	Scd2	1	243169236	243182232	+	12997	0.7651	9.4616	3.283235388	0.008295672	0.359644669	-2.293690708
ENSRNOG00000069015		12	5872497	5884750	-	12254	-0.9567	3.1687	-3.286476948	0.008250461	0.359644669	-2.300983406
ENSRNOG00000016828	Cmtm5	15	28412624	28415287	+	2664	0.8200	3.7459	3.272392613	0.008448763	0.359644669	-2.305043466
ENSRNOG00000043350	Cap2	17	18054431	18203373	-	148943	-0.6765	6.9710	-3.300577791	0.00805672	0.359644669	-2.326301031
ENSRNOG00000031536	Syndig1	3	138031769	138198122	+	166354	-0.6865	8.4484	-3.271848896	0.008456516	0.359644669	-2.329707655
ENSRNOG00000011859	Eif5a2	2	111729323	111746087	+	16765	0.6910	4.7822	3.27659881	0.008389033	0.359644669	-2.338984171
ENSRNOG00000011541	Cygb	10	101877676	101887442	-	9767	1.1665	2.5609	3.287212392	0.008240238	0.359644669	-2.34414729
ENSRNOG00000004677	Zeb2	3	29218301	29345157	-	126857	0.6632	7.8378	3.273916285	0.008427076	0.359644669	-2.344968144
ENSRNOG00000006369	Alg2	5	61768740	61773297	-	4558	0.8203	4.8011	3.272665174	0.008444879	0.359644669	-2.34512232
ENSRNOG00000002339	Mark1	13	96451487	96555173	-	103687	-0.6267	7.1960	-3.28149699	0.008320024	0.359644669	-2.350431171
ENSRNOG00000020248	Ina	1	245896775	245908330	+	11556	0.6696	5.7814	3.288498114	0.008222399	0.359644669	-2.358375682
ENSRNOG00000019560	Pde2a	1	155813180	155915434	+	102255	-0.8336	7.2625	-3.263580021	0.008575328	0.359644669	-2.375298492
ENSRNOG00000019556	Cd9	4	158256328	158289222	-	32895	0.8319	3.7887	3.216732235	0.00928162	0.37020991	-2.385432486
ENSRNOG00000011227	Atp1b2	10	54318701	54324933	-	6233	0.7047	7.0519	3.261439563	0.008606362	0.359644669	-2.38689612
ENSRNOG00000016467	Kctd1	18	6122390	6317393	-	195004	-0.7058	7.4074	-3.253830081	0.008717628	0.362163906	-2.387087039
ENSRNOG00000007018	Mapkbp1	3	106947827	106996199	+	48373	-0.6362	4.9710	-3.242892452	0.008880153	0.366071737	-2.395904997
ENSRNOG00000000321	Cd24	20	47073512	47079662	+	6151	-0.9387	3.3512	-3.208195777	0.009416618	0.37020991	-2.400521645
ENSRNOG00000022598	Trerf1	9	13634126	13857029	-	222904	-0.6549	7.5072	-3.239391877	0.008932825	0.366071737	-2.406873156
ENSRNOG00000063400	Shisa9	10	3337979	3627773	-	289795	-0.7755	9.5852	-3.203947899	0.009484544	0.37020991	-2.408121572
ENSRNOG00000021231	Lzts3	3	117851702	117860081	-	8380	-0.8891	4.0600	-3.196410176	0.009606317	0.37195106	-2.419616827
ENSRNOG00000001611	Rpl24	11	44653937	44659370	-	5434	0.6804	4.5732	3.212640865	0.009346073	0.37020991	-2.424221362
ENSRNOG00000028648	Olig1	11	30514379	30516521	+	2143	0.7703	4.0106	3.191516891	0.009686226	0.37195106	-2.42724336
ENSRNOG00000061845	Cttnbp2	4	46800981	46964631	-	163651	-0.7261	9.0448	-3.192932439	0.009663039	0.37195106	-2.433956309
ENSRNOG00000067013		11	29261318	29380097	-	118780	-0.6439	5.9369	-3.237179114	0.008966284	0.366071737	-2.436090171
ENSRNOG00000060348	Zdhhc23	11	56718826	56734194	+	15369	-0.6831	4.8544	-3.20476824	0.009471388	0.37020991	-2.446403013
ENSRNOG00000066798	Peg10	4	32848493	32852621	+	4129	0.7260	5.7400	3.222210085	0.009196039	0.369088491	-2.446469529
ENSRNOG00000064362	Efnb2	16	80783417	80824391	+	40975	-0.7535	5.8269	-3.224853473	0.009155032	0.369088491	-2.452856374
ENSRNOG00000031927	Klk6	1	94280340	94286121	+	5782	1.2697	1.9826	3.261875712	0.008600029	0.359644669	-2.453312897
ENSRNOG00000064701	Ncs1	3	14523220	14568829	+	45610	-0.6933	4.6411	-3.185533933	0.009784855	0.372822472	-2.463202806
ENSRNOG00000067970		3	99631867	99979128	-	347262	-0.6711	8.4836	-3.180099632	0.009875333	0.372822472	-2.467702575
ENSRNOG00000009184	Foxp1	4	131564756	132112258	-	547503	-0.7318	8.9343	-3.171518979	0.010019944	0.374173316	-2.468515959
ENSRNOG00000017610	Nedd4l	18	58393509	58723137	+	329629	-0.7397	8.3223	-3.17750454	0.009918841	0.372822472	-2.47634367
ENSRNOG00000007090	Cacna1c	4	151764138	152379648	-	615511	-0.7148	8.9056	-3.158646628	0.010240963	0.374645092	-2.488609453
ENSRNOG00000063915		15	35727724	35730465	+	2742	-2.1319	0.4360	-3.700957644	0.004135572	0.31143176	-2.521574744
ENSRNOG00000065654		7	134736165	134749939	+	13775	-1.0409	3.1359	-3.122363878	0.010891186	0.384930289	-2.525596277
ENSRNOG00000068888		17	6370507	6378539	-	8033	-1.4630	1.6316	-3.265368078	0.008549491	0.359644669	-2.531005129
ENSRNOG00000010524	Cryab	8	51093441	51099157	+	5717	0.7072	5.4567	3.169157484	0.010060122	0.374173316	-2.535948136
ENSRNOG00000015401	Mapk4	18	67512807	67661842	-	149036	-0.6616	6.8817	-3.158987723	0.010235042	0.374645092	-2.549376926
ENSRNOG00000014550	Plcxd3	2	53567022	53746384	+	179363	-0.6399	7.5094	-3.145228926	0.010476663	0.374679318	-2.552466051
ENSRNOG00000057848	Cacng8	1	65755334	65779089	-	23756	-0.5777	5.6729	-3.156734483	0.010274218	0.374645092	-2.558827872
ENSRNOG00000010881	Trak2	9	60350012	60413996	-	63985	0.5821	7.0136	3.150169886	0.010389229	0.374645092	-2.561614233
ENSRNOG00000068364	Smim10l1	4	166341280	166345506	+	4227	0.5713	5.4837	3.150591367	0.010381805	0.374645092	-2.568676179
ENSRNOG00000003853	Scoc	19	24659651	24693217	+	33567	0.5688	6.1333	3.154903352	0.010306167	0.374645092	-2.570495641
ENSRNOG00000017373	Rhobtb2	15	44870376	44888651	-	18276	-0.7864	3.7789	-3.08775996	0.011550663	0.398329653	-2.570988087
ENSRNOG00000026791	Pgbd5	19	52336751	52402397	-	65647	-0.7698	5.3411	-3.132401433	0.010707187	0.380319275	-2.582736453
ENSRNOG00000001928	Il1rap	11	74070304	74199530	-	129227	0.5737	6.1686	3.144160848	0.010495662	0.374679318	-2.585743804
ENSRNOG00000015385	Pink1	5	150530523	150542635	-	12113	0.7547	3.8252	3.077788656	0.011748162	0.399186432	-2.587998202
ENSRNOG00000010141	Ttll1	7	114619508	114648761	-	29254	-0.7905	3.8398	-3.073680829	0.011830524	0.399186432	-2.593058114
ENSRNOG00000063732	H1f0	7	110592208	110594694	+	2487	0.9907	2.6576	3.075234893	0.011799296	0.399186432	-2.60824916
