Human Gene Symbol	Tissue	Estimated Marginal Mean	Standard Error	DF	Lower Confidence Interval	Upper Confidence Interval	Group
B2M	BRN-NAC	295.8511	54.1954	886	189.4848	402.2175	b
B2M	BRN-PTRY	807.3952	49.8525	886	709.5524	905.2380	a
B2M	BRN-PUT	286.5009	60.7652	886	167.2404	405.7613	b
B2M	BRN-SN	419.7109	74.9592	886	272.5926	566.8292	b
B2M	BRN-SPC	805.5472	59.9153	886	687.9548	923.1397	a
BCAS1	BRN-ACC	99.8289	17.4401	886	65.6002	134.0577	de
BCAS1	BRN-AMY	199.1223	18.2913	886	163.2229	235.0217	c
BCAS1	BRN-CAU	97.4475	15.4590	886	67.1070	127.7880	de
BCAS1	BRN-CB-a	37.6353	16.0426	886	6.1494	69.1211	ef
BCAS1	BRN-CTX-a	107.3463	15.6464	886	76.6380	138.0547	de
BCAS1	BRN-HIPP	212.9680	16.9345	886	179.7316	246.2044	c
BCAS1	BRN-HYP	164.8423	16.0426	886	133.3564	196.3282	cd
BCAS1	BRN-NAC	79.1891	15.1036	886	49.5461	108.8320	e
BCAS1	BRN-PTRY	0.6417	13.8933	886	-26.6258	27.9093	f
BCAS1	BRN-PUT	187.5696	16.9345	886	154.3332	220.8060	c
BCAS1	BRN-SN	323.9957	20.8902	886	282.9956	364.9957	b
BCAS1	BRN-SPC	819.8750	16.6976	886	787.1035	852.6465	a
BTG1	BRN-ACC	15.2155	2.6058	886	10.1012	20.3299	d
BTG1	BRN-AMY	16.5317	2.7330	886	11.1677	21.8957	d
BTG1	BRN-CAU	13.4395	2.3098	886	8.9061	17.9729	d
BTG1	BRN-CB-a	124.6541	2.3970	886	119.9496	129.3586	a
BTG1	BRN-CTX-a	15.6309	2.3378	886	11.0426	20.2193	d
BTG1	BRN-HIPP	15.7346	2.5303	886	10.7685	20.7007	d
BTG1	BRN-HYP	21.2935	2.3970	886	16.5889	25.9980	d
BTG1	BRN-NAC	18.5538	2.2567	886	14.1246	22.9829	d
BTG1	BRN-PTRY	63.8364	2.0759	886	59.7622	67.9107	b
BTG1	BRN-PUT	11.3992	2.5303	886	6.4331	16.3652	d
BTG1	BRN-SN	13.2688	3.1213	886	7.1427	19.3949	d
BTG1	BRN-SPC	40.1992	2.4949	886	35.3026	45.0958	c
CACYBP	BRN-ACC	55.4339	4.3203	886	46.9546	63.9132	cde
CACYBP	BRN-AMY	45.6824	4.5312	886	36.7892	54.5755	cde
CACYBP	BRN-CAU	46.3639	3.8296	886	38.8478	53.8800	cde
CACYBP	BRN-CB-a	83.1776	3.9741	886	75.3777	90.9774	a
CACYBP	BRN-CTX-a	78.7407	3.8760	886	71.1335	86.3479	ab
CACYBP	BRN-HIPP	41.3701	4.1951	886	33.1367	49.6036	de
CACYBP	BRN-HYP	59.3124	3.9741	886	51.5126	67.1122	cd
CACYBP	BRN-NAC	55.6151	3.7415	886	48.2719	62.9584	cd
CACYBP	BRN-PTRY	44.7790	3.4417	886	38.0242	51.5339	de
CACYBP	BRN-PUT	36.0506	4.1951	886	27.8172	44.2841	e
CACYBP	BRN-SN	40.5650	5.1750	886	30.4083	50.7217	de
CACYBP	BRN-SPC	63.6697	4.1364	886	55.5514	71.7880	bc
CARTPT	BRN-ACC	3.6092	27.0102	886	-49.4023	56.6206	b
CARTPT	BRN-AMY	26.4050	28.3286	886	-29.1939	82.0039	b
CARTPT	BRN-CAU	0.9763	23.9420	886	-46.0134	47.9660	b
CARTPT	BRN-CB-a	0.2010	24.8458	886	-48.5624	48.9645	b
CARTPT	BRN-CTX-a	59.5709	24.2322	886	12.0116	107.1301	b
CARTPT	BRN-HIPP	20.2467	26.2272	886	-31.2279	71.7213	b
CARTPT	BRN-HYP	480.8890	24.8458	886	432.1255	529.6525	a
CARTPT	BRN-NAC	37.8646	23.3915	886	-8.0447	83.7739	b
CARTPT	BRN-PTRY	9.1701	21.5171	886	-33.0603	51.4005	b
CARTPT	BRN-PUT	1.3386	26.2272	886	-50.1360	52.8132	b
CARTPT	BRN-SN	1.5200	32.3535	886	-61.9785	65.0184	b
CARTPT	BRN-SPC	10.0749	25.8603	886	-40.6797	60.8295	b
CCDC88C	BRN-ACC	1.6083	0.6327	886	0.3665	2.8501	d
CCDC88C	BRN-AMY	2.1867	0.6636	886	0.8843	3.4891	d
CCDC88C	BRN-CAU	13.3558	0.5608	886	12.2551	14.4566	a
CCDC88C	BRN-CB-a	0.9826	0.5820	886	-0.1597	2.1249	d
CCDC88C	BRN-CTX-a	1.6634	0.5676	886	0.5493	2.7775	d
CCDC88C	BRN-HIPP	1.5821	0.6144	886	0.3763	2.7879	d
CCDC88C	BRN-HYP	2.5454	0.5820	886	1.4031	3.6877	d
CCDC88C	BRN-NAC	14.8183	0.5480	886	13.7428	15.8937	a
CCDC88C	BRN-PTRY	7.3522	0.5040	886	6.3630	8.3415	c
CCDC88C	BRN-PUT	10.3723	0.6144	886	9.1665	11.5781	b
CCDC88C	BRN-SN	1.1570	0.7579	886	-0.3305	2.6444	d
CCDC88C	BRN-SPC	2.9652	0.6058	886	1.7763	4.1542	d
CELF6+	BRN-ACC	15.1286	1.3215	886	12.5350	17.7222	cd
CELF6+	BRN-AMY	9.1918	1.3860	886	6.4716	11.9119	de
CELF6+	BRN-CAU	8.8858	1.1714	886	6.5868	11.1848	e
CELF6+	BRN-CB-a	30.0289	1.2156	886	27.6431	32.4147	b
CELF6+	BRN-CTX-a	17.3753	1.1856	886	15.0485	19.7022	c
CELF6+	BRN-HIPP	8.5723	1.2832	886	6.0539	11.0907	e
CELF6+	BRN-HYP	34.8608	1.2156	886	32.4750	37.2466	b
CELF6+	BRN-NAC	14.4661	1.1444	886	12.2200	16.7123	cd
CELF6+	BRN-PTRY	51.5913	1.0527	886	49.5252	53.6575	a
CELF6+	BRN-PUT	7.0210	1.2832	886	4.5026	9.5395	e
CELF6+	BRN-SN	9.4872	1.5829	886	6.3805	12.5939	de
CELF6+	BRN-SPC	9.7963	1.2652	886	7.3132	12.2795	de
EGR2	BRN-ACC	1.2848	1.1030	886	-0.8800	3.4495	b
EGR2	BRN-AMY	1.4124	1.1568	886	-0.8580	3.6829	b
EGR2	BRN-CAU	3.2130	0.9777	886	1.2942	5.1319	b
EGR2	BRN-CB-a	1.9015	1.0146	886	-0.0898	3.8928	b
EGR2	BRN-CTX-a	1.9273	0.9895	886	-0.0149	3.8694	b
EGR2	BRN-HIPP	2.1659	1.0710	886	0.0639	4.2679	b
EGR2	BRN-HYP	1.7078	1.0146	886	-0.2835	3.6991	b
EGR2	BRN-NAC	2.5796	0.9552	886	0.7048	4.4543	b
EGR2	BRN-PTRY	12.9664	0.8787	886	11.2419	14.6909	a
EGR2	BRN-PUT	2.8014	1.0710	886	0.6994	4.9034	b
EGR2	BRN-SN	1.0059	1.3212	886	-1.5871	3.5989	b
EGR2	BRN-SPC	2.3581	1.0560	886	0.2855	4.4307	b
FABP7	BRN-ACC	49.8262	2.0087	886	45.8839	53.7686	b
FABP7	BRN-AMY	35.3372	2.1067	886	31.2024	39.4720	c
FABP7	BRN-CAU	11.0228	1.7805	886	7.5283	14.5173	fg
FABP7	BRN-CB-a	116.9385	1.8477	886	113.3120	120.5649	a
FABP7	BRN-CTX-a	34.4079	1.8021	886	30.8711	37.9448	c
FABP7	BRN-HIPP	29.9243	1.9505	886	26.0963	33.7524	c
FABP7	BRN-HYP	28.0480	1.8477	886	24.4216	31.6744	cd
FABP7	BRN-NAC	21.2707	1.7396	886	17.8565	24.6848	de
FABP7	BRN-PTRY	6.0750	1.6002	886	2.9344	9.2156	g
FABP7	BRN-PUT	8.8692	1.9505	886	5.0411	12.6972	fg
FABP7	BRN-SN	14.6689	2.4061	886	9.9467	19.3912	efg
FABP7	BRN-SPC	16.3367	1.9232	886	12.5622	20.1112	ef
FKBP4	BRN-ACC	36.9572	5.5472	886	26.0701	47.8443	cd
FKBP4	BRN-AMY	33.8524	5.8179	886	22.4338	45.2709	cd
FKBP4	BRN-CAU	35.4794	4.9170	886	25.8290	45.1298	cd
FKBP4	BRN-CB-a	121.4049	5.1026	886	111.3902	131.4196	a
FKBP4	BRN-CTX-a	57.0026	4.9766	886	47.2352	66.7700	bc
FKBP4	BRN-HIPP	30.4298	5.3863	886	19.8583	41.0013	d
FKBP4	BRN-HYP	50.8653	5.1026	886	40.8506	60.8800	bcd
FKBP4	BRN-NAC	38.5129	4.8040	886	29.0844	47.9415	cd
FKBP4	BRN-PTRY	60.8923	4.4190	886	52.2193	69.5653	b
FKBP4	BRN-PUT	28.6322	5.3863	886	18.0608	39.2037	d
FKBP4	BRN-SN	34.0498	6.6445	886	21.0089	47.0906	cd
FKBP4	BRN-SPC	53.0239	5.3110	886	42.6003	63.4475	bcd
FTH1	BRN-ACC	1268.2773	66.1202	886	1138.5067	1398.0478	bc
FTH1	BRN-AMY	1348.1700	69.3475	886	1212.0655	1484.2745	b
FTH1	BRN-CAU	769.3774	58.6093	886	654.3481	884.4067	e
FTH1	BRN-CB-a	490.6769	60.8218	886	371.3054	610.0484	f
FTH1	BRN-CTX-a	1284.8817	59.3198	886	1168.4581	1401.3053	b
FTH1	BRN-HIPP	1111.2514	64.2033	886	985.2432	1237.2597	bcd
FTH1	BRN-HYP	996.7641	60.8218	886	877.3926	1116.1356	cde
FTH1	BRN-NAC	868.5261	57.2618	886	756.1416	980.9107	de
FTH1	BRN-PTRY	920.6817	52.6732	886	817.3030	1024.0605	de
FTH1	BRN-PUT	803.7929	64.2033	886	677.7846	929.8011	e
FTH1	BRN-SN	878.9913	79.2004	886	723.5490	1034.4336	de
FTH1	BRN-SPC	2390.5139	63.3053	886	2266.2681	2514.7597	a
GPD1	BRN-ACC	6.0721	3.2181	886	-0.2438	12.3881	bc
GPD1	BRN-AMY	7.9554	3.3751	886	1.3312	14.5796	bc
GPD1	BRN-CAU	3.4176	2.8525	886	-2.1809	9.0161	c
GPD1	BRN-CB-a	10.5327	2.9602	886	4.7229	16.3426	bc
GPD1	BRN-CTX-a	4.8713	2.8871	886	-0.7951	10.5376	c
GPD1	BRN-HIPP	14.1374	3.1248	886	8.0046	20.2702	bc
GPD1	BRN-HYP	11.5644	2.9602	886	5.7546	17.3742	bc
GPD1	BRN-NAC	3.6582	2.7869	886	-1.8116	9.1280	c
GPD1	BRN-PTRY	2.7515	2.5636	886	-2.2800	7.7829	c
GPD1	BRN-PUT	4.7049	3.1248	886	-1.4279	10.8377	c
GPD1	BRN-SN	21.2800	3.8547	886	13.7146	28.8453	b
GPD1	BRN-SPC	120.2078	3.0811	886	114.1607	126.2548	a
GUCY1A3	BRN-ACC	3.8930	0.4323	886	3.0446	4.7413	cde
GUCY1A3	BRN-AMY	3.6461	0.4534	886	2.7564	4.5359	cde
GUCY1A3	BRN-CAU	5.3032	0.3832	886	4.5512	6.0552	bc
GUCY1A3	BRN-CB-a	1.5812	0.3976	886	0.8008	2.3616	f
GUCY1A3	BRN-CTX-a	5.1187	0.3878	886	4.3576	5.8798	bc
GUCY1A3	BRN-HIPP	2.5696	0.4197	886	1.7458	3.3933	def
GUCY1A3	BRN-HYP	4.3409	0.3976	886	3.5605	5.1213	cd
GUCY1A3	BRN-NAC	7.9820	0.3743	886	7.2473	8.7167	a
GUCY1A3	BRN-PTRY	6.2402	0.3443	886	5.5644	6.9160	b
GUCY1A3	BRN-PUT	4.9481	0.4197	886	4.1243	5.7719	bc
GUCY1A3	BRN-SN	1.9779	0.5178	886	0.9617	2.9941	ef
GUCY1A3	BRN-SPC	4.2088	0.4139	886	3.3966	5.0211	cd
HAPLN2	BRN-ACC	36.9490	19.1101	886	-0.5573	74.4552	cd
HAPLN2	BRN-AMY	55.8382	20.0428	886	16.5014	95.1751	cd
HAPLN2	BRN-CAU	59.7930	16.9393	886	26.5473	93.0388	cd
HAPLN2	BRN-CB-a	53.8051	17.5787	886	19.3044	88.3059	cd
HAPLN2	BRN-CTX-a	39.1310	17.1446	886	5.4822	72.7797	cd
HAPLN2	BRN-HIPP	119.4269	18.5560	886	83.0080	155.8457	bc
HAPLN2	BRN-HYP	89.9396	17.5787	886	55.4389	124.4404	bc
HAPLN2	BRN-NAC	38.3449	16.5498	886	5.8635	70.8262	cd
HAPLN2	BRN-PTRY	1.2012	15.2236	886	-28.6773	31.0797	d
HAPLN2	BRN-PUT	84.5622	18.5560	886	48.1433	120.9811	bc
HAPLN2	BRN-SN	173.0224	22.8905	886	128.0965	217.9483	b
HAPLN2	BRN-SPC	770.4153	18.2965	886	734.5058	806.3248	a
HSPA8	BRN-ACC	294.1326	38.4581	886	218.6529	369.6122	de
HSPA8	BRN-AMY	222.9932	40.3352	886	143.8294	302.1569	e
HSPA8	BRN-CAU	299.8780	34.0895	886	232.9724	366.7836	de
HSPA8	BRN-CB-a	712.2199	35.3763	886	642.7887	781.6511	a
HSPA8	BRN-CTX-a	466.1150	34.5027	886	398.3984	533.8316	bc
HSPA8	BRN-HIPP	209.6853	37.3432	886	136.3939	282.9767	e
HSPA8	BRN-HYP	354.0008	35.3763	886	284.5696	423.4320	cde
HSPA8	BRN-NAC	328.4375	33.3057	886	263.0702	393.8048	cde
HSPA8	BRN-PTRY	564.4904	30.6368	886	504.3612	624.6196	ab
HSPA8	BRN-PUT	238.3901	37.3432	886	165.0988	311.6815	de
HSPA8	BRN-SN	300.3343	46.0661	886	209.9230	390.7457	cde
HSPA8	BRN-SPC	407.6200	36.8209	886	335.3537	479.8863	bcd
IRS2	BRN-ACC	16.7859	1.1845	886	14.4610	19.1107	cde
IRS2	BRN-AMY	11.8033	1.2424	886	9.3650	14.2416	efgh
IRS2	BRN-CAU	11.2946	1.0500	886	9.2338	13.3553	fgh
IRS2	BRN-CB-a	27.2185	1.0896	886	25.0799	29.3570	b
IRS2	BRN-CTX-a	21.0541	1.0627	886	18.9684	23.1399	c
IRS2	BRN-HIPP	13.3405	1.1502	886	11.0831	15.5980	defgh
IRS2	BRN-HYP	17.7309	1.0896	886	15.5923	19.8694	cd
IRS2	BRN-NAC	15.5767	1.0258	886	13.5633	17.5900	defg
IRS2	BRN-PTRY	40.8509	0.9436	886	38.9988	42.7029	a
IRS2	BRN-PUT	8.8989	1.1502	886	6.6414	11.1563	h
IRS2	BRN-SN	10.1360	1.4189	886	7.3512	12.9207	gh
IRS2	BRN-SPC	16.1308	1.1341	886	13.9050	18.3567	cdef
KIF5A	BRN-ACC	841.9909	26.2732	886	790.4260	893.5558	b
KIF5A	BRN-AMY	589.9240	27.5555	886	535.8423	644.0057	c
KIF5A	BRN-CAU	330.9285	23.2887	886	285.2211	376.6358	d
KIF5A	BRN-CB-a	218.1760	24.1678	886	170.7432	265.6088	ef
KIF5A	BRN-CTX-a	1241.6500	23.5710	886	1195.3886	1287.9114	a
KIF5A	BRN-HIPP	324.8313	25.5115	886	274.7614	374.9012	de
KIF5A	BRN-HYP	146.5805	24.1678	886	99.1477	194.0133	fg
KIF5A	BRN-NAC	323.9402	22.7532	886	279.2837	368.5967	de
KIF5A	BRN-PTRY	42.0986	20.9299	886	1.0206	83.1766	g
KIF5A	BRN-PUT	321.3397	25.5115	886	271.2698	371.4096	de
KIF5A	BRN-SN	64.2135	31.4706	886	2.4478	125.9791	g
KIF5A	BRN-SPC	99.6474	25.1546	886	50.2777	149.0170	g
LYPD1	BRN-ACC	15.4372	1.1604	886	13.1597	17.7146	de
LYPD1	BRN-AMY	15.3395	1.2171	886	12.9508	17.7281	de
LYPD1	BRN-CAU	22.4605	1.0286	886	20.4418	24.4793	bc
LYPD1	BRN-CB-a	5.3808	1.0674	886	3.2858	7.4758	f
LYPD1	BRN-CTX-a	10.4387	1.0411	886	8.3955	12.4819	e
LYPD1	BRN-HIPP	14.5874	1.1268	886	12.3760	16.7988	de
LYPD1	BRN-HYP	22.0615	1.0674	886	19.9666	24.1565	bc
LYPD1	BRN-NAC	30.5778	1.0049	886	28.6054	32.5501	a
LYPD1	BRN-PTRY	24.7101	0.9244	886	22.8958	26.5244	b
LYPD1	BRN-PUT	16.8020	1.1268	886	14.5905	19.0134	d
LYPD1	BRN-SN	18.5476	1.3900	886	15.8195	21.2756	cd
LYPD1	BRN-SPC	10.4918	1.1110	886	8.3113	12.6723	e
MBP	BRN-ACC	717.0247	184.2534	886	355.4008	1078.6486	defg
MBP	BRN-AMY	1278.5232	193.2465	886	899.2488	1657.7976	cde
MBP	BRN-CAU	505.0857	163.3231	886	184.5404	825.6311	efg
MBP	BRN-CB-a	249.9619	169.4884	886	-82.6837	582.6076	g
MBP	BRN-CTX-a	728.0524	165.3029	886	403.6215	1052.4833	defg
MBP	BRN-HIPP	1681.9914	178.9115	886	1330.8516	2033.1313	c
MBP	BRN-HYP	1287.1094	169.4884	886	954.4637	1619.7550	cd
MBP	BRN-NAC	441.8538	159.5681	886	128.6782	755.0293	fg
MBP	BRN-PTRY	8.0294	146.7813	886	-280.0502	296.1090	g
MBP	BRN-PUT	1107.7857	178.9115	886	756.6459	1458.9256	cdef
MBP	BRN-SN	3211.7152	220.7031	886	2778.5533	3644.8771	b
MBP	BRN-SPC	9415.3611	176.4092	886	9069.1326	9761.5897	a
MOBP	BRN-ACC	95.9635	25.2924	886	46.3236	145.6035	defg
MOBP	BRN-AMY	165.0243	26.5268	886	112.9615	217.0871	cde
MOBP	BRN-CAU	55.2087	22.4193	886	11.2076	99.2098	efg
MOBP	BRN-CB-a	30.6724	23.2656	886	-14.9897	76.3344	fg
MOBP	BRN-CTX-a	82.3447	22.6910	886	37.8103	126.8792	defg
MOBP	BRN-HIPP	237.5220	24.5591	886	189.3212	285.7228	c
MOBP	BRN-HYP	177.1597	23.2656	886	131.4976	222.8218	cd
MOBP	BRN-NAC	53.0251	21.9038	886	10.0357	96.0145	efg
MOBP	BRN-PTRY	0.1973	20.1486	886	-39.3473	39.7418	g
MOBP	BRN-PUT	114.9101	24.5591	886	66.7094	163.1109	def
MOBP	BRN-SN	417.2717	30.2958	886	357.8118	476.7316	b
MOBP	BRN-SPC	1332.3667	24.2156	886	1284.8401	1379.8933	a
NTS	BRN-ACC	0.2060	4.8393	886	-9.2919	9.7039	c
NTS	BRN-AMY	6.8550	5.0755	886	-3.1065	16.8164	c
NTS	BRN-CAU	5.2681	4.2896	886	-3.1509	13.6871	c
NTS	BRN-CB-a	2.9405	4.4515	886	-5.7963	11.6773	c
NTS	BRN-CTX-a	0.0840	4.3416	886	-8.4370	8.6051	c
NTS	BRN-HIPP	14.2886	4.6990	886	5.0660	23.5111	c
NTS	BRN-HYP	40.0994	4.4515	886	31.3626	48.8362	ab
NTS	BRN-NAC	2.0419	4.1910	886	-6.1835	10.2674	c
NTS	BRN-PTRY	47.3481	3.8551	886	39.7818	54.9144	a
NTS	BRN-PUT	0.5380	4.6990	886	-8.6845	9.7606	c
NTS	BRN-SN	16.3907	5.7967	886	5.0139	27.7675	bc
NTS	BRN-SPC	8.1499	4.6333	886	-0.9436	17.2435	c
PHLDA1	BRN-ACC	10.6479	0.9065	886	8.8686	12.4271	bcd
PHLDA1	BRN-AMY	11.9856	0.9508	886	10.1195	13.8517	abc
PHLDA1	BRN-CAU	8.1528	0.8036	886	6.5757	9.7299	cd
PHLDA1	BRN-CB-a	9.7001	0.8339	886	8.0635	11.3368	bcd
PHLDA1	BRN-CTX-a	11.4982	0.8133	886	9.9020	13.0944	abcd
PHLDA1	BRN-HIPP	8.9928	0.8803	886	7.2651	10.7204	bcd
PHLDA1	BRN-HYP	12.7014	0.8339	886	11.0647	14.3380	ab
PHLDA1	BRN-NAC	10.7540	0.7851	886	9.2131	12.2948	bcd
PHLDA1	BRN-PTRY	15.0169	0.7222	886	13.5995	16.4342	a
PHLDA1	BRN-PUT	7.6699	0.8803	886	5.9422	9.3975	d
PHLDA1	BRN-SN	11.4203	1.0859	886	9.2891	13.5515	abcd
PHLDA1	BRN-SPC	8.8252	0.8680	886	7.1217	10.5286	bcd
PITPNM3	BRN-ACC	33.6720	1.9677	886	29.8101	37.5339	b
PITPNM3	BRN-AMY	28.1694	2.0637	886	24.1190	32.2198	b
PITPNM3	BRN-CAU	17.1252	1.7442	886	13.7020	20.5484	c
PITPNM3	BRN-CB-a	68.3482	1.8100	886	64.7958	71.9006	a
PITPNM3	BRN-CTX-a	36.1965	1.7653	886	32.7318	39.6612	b
PITPNM3	BRN-HIPP	9.0708	1.9106	886	5.3209	12.8207	cd
PITPNM3	BRN-HYP	11.3094	1.8100	886	7.7570	14.8618	cd
PITPNM3	BRN-NAC	29.7229	1.7041	886	26.3784	33.0674	b
PITPNM3	BRN-PTRY	3.6343	1.5675	886	0.5578	6.7108	d
PITPNM3	BRN-PUT	10.8723	1.9106	886	7.1224	14.6223	cd
PITPNM3	BRN-SN	3.8465	2.3570	886	-0.7794	8.4723	d
PITPNM3	BRN-SPC	3.5185	1.8839	886	-0.1790	7.2160	d
RGS5	BRN-ACC	72.4539	4.4281	886	63.7631	81.1448	bcde
RGS5	BRN-AMY	56.8148	4.6443	886	47.6998	65.9299	ef
RGS5	BRN-CAU	84.0551	3.9251	886	76.3515	91.7588	abc
RGS5	BRN-CB-a	36.9757	4.0733	886	28.9812	44.9701	f
RGS5	BRN-CTX-a	85.8505	3.9727	886	78.0535	93.6475	ab
RGS5	BRN-HIPP	72.8743	4.2998	886	64.4354	81.3132	bcde
RGS5	BRN-HYP	65.5223	4.0733	886	57.5279	73.5167	cde
RGS5	BRN-NAC	54.7515	3.8349	886	47.2250	62.2780	ef
RGS5	BRN-PTRY	80.1599	3.5276	886	73.2365	87.0833	bcd
RGS5	BRN-PUT	90.2899	4.2998	886	81.8509	98.7288	ab
RGS5	BRN-SN	105.5004	5.3041	886	95.0903	115.9106	a
RGS5	BRN-SPC	64.7654	4.2396	886	56.4445	73.0863	de
RPS6KA2	BRN-ACC	25.2323	1.9657	886	21.3743	29.0903	cd
RPS6KA2	BRN-AMY	23.9229	2.0617	886	19.8766	27.9693	cd
RPS6KA2	BRN-CAU	25.2123	1.7424	886	21.7925	28.6321	cd
RPS6KA2	BRN-CB-a	21.4621	1.8082	886	17.9132	25.0109	cd
RPS6KA2	BRN-CTX-a	25.7530	1.7635	886	22.2918	29.2143	cd
RPS6KA2	BRN-HIPP	20.5299	1.9087	886	16.7837	24.2760	d
RPS6KA2	BRN-HYP	29.7100	1.8082	886	26.1612	33.2589	c
RPS6KA2	BRN-NAC	26.3978	1.7024	886	23.0566	29.7389	cd
RPS6KA2	BRN-PTRY	42.5954	1.5659	886	39.5220	45.6688	b
RPS6KA2	BRN-PUT	21.9059	1.9087	886	18.1597	25.6520	cd
RPS6KA2	BRN-SN	29.0341	2.3546	886	24.4129	33.6554	cd
RPS6KA2	BRN-SPC	71.4238	1.8820	886	67.7300	75.1175	a
SOX17	BRN-ACC	1.8334	0.2439	886	1.3547	2.3122	bc
SOX17	BRN-AMY	1.8673	0.2558	886	1.3652	2.3694	bc
SOX17	BRN-CAU	2.1785	0.2162	886	1.7541	2.6029	bc
SOX17	BRN-CB-a	1.2510	0.2244	886	0.8106	1.6914	c
SOX17	BRN-CTX-a	1.9887	0.2188	886	1.5592	2.4182	bc
SOX17	BRN-HIPP	2.3900	0.2369	886	1.9251	2.8549	b
SOX17	BRN-HYP	2.4182	0.2244	886	1.9778	2.8586	b
SOX17	BRN-NAC	1.8580	0.2112	886	1.4434	2.2726	bc
SOX17	BRN-PTRY	4.0731	0.1943	886	3.6917	4.4545	a
SOX17	BRN-PUT	2.3748	0.2369	886	1.9100	2.8397	b
SOX17	BRN-SN	2.9487	0.2922	886	2.3752	3.5222	ab
SOX17	BRN-SPC	3.7996	0.2335	886	3.3412	4.2580	a
TIPARP	BRN-ACC	8.2517	1.0213	886	6.2472	10.2562	b
TIPARP	BRN-AMY	8.5277	1.0712	886	6.4253	10.6300	b
TIPARP	BRN-CAU	9.6647	0.9053	886	7.8879	11.4415	b
TIPARP	BRN-CB-a	8.2005	0.9395	886	6.3566	10.0444	b
TIPARP	BRN-CTX-a	8.3460	0.9163	886	6.5476	10.1443	b
TIPARP	BRN-HIPP	9.2285	0.9917	886	7.2821	11.1749	b
TIPARP	BRN-HYP	9.7163	0.9395	886	7.8724	11.5602	b
TIPARP	BRN-NAC	8.9740	0.8845	886	7.2381	10.7100	b
TIPARP	BRN-PTRY	19.6111	0.8136	886	18.0142	21.2079	a
TIPARP	BRN-PUT	7.2404	0.9917	886	5.2940	9.1868	b
TIPARP	BRN-SN	7.2062	1.2234	886	4.8052	9.6073	b
TIPARP	BRN-SPC	17.1791	0.9779	886	15.2599	19.0983	a
TTLL1	BRN-ACC	11.5135	0.7111	886	10.1179	12.9091	cde
TTLL1	BRN-AMY	10.2410	0.7458	886	8.7772	11.7047	de
TTLL1	BRN-CAU	11.1825	0.6303	886	9.9454	12.4195	cde
TTLL1	BRN-CB-a	22.4220	0.6541	886	21.1383	23.7058	a
TTLL1	BRN-CTX-a	14.0771	0.6379	886	12.8251	15.3292	c
TTLL1	BRN-HIPP	9.9066	0.6905	886	8.5515	11.2618	de
TTLL1	BRN-HYP	14.1162	0.6541	886	12.8324	15.3999	c
TTLL1	BRN-NAC	12.4865	0.6158	886	11.2779	13.6951	cd
TTLL1	BRN-PTRY	19.3694	0.5665	886	18.2576	20.4812	b
TTLL1	BRN-PUT	9.0368	0.6905	886	7.6816	10.3919	e
